id,rating
pit,31.14
rav,29.95
phi,27.53
oti,27.38
nyg,26.85
clt,26.04
crd,24.31
nwe,24.20
car,23.59
atl,22.59
dal,22.48
sdg,22.32
min,22.25
chi,21.20
tam,20.99
mia,20.82
nor,20.78
htx,20.31
nyj,19.90
was,19.83
gnb,19.20
sfo,16.61
den,16.12
jax,16.08
buf,15.84
cin,15.20
cle,15.08
rai,13.25
sea,13.18
kan,9.54
ram,8.39
det,7.08
