id,rating
clt,31.93
nwe,31.31
sdg,28.74
chi,28.70
rav,27.54
jax,24.51
nyj,23.93
buf,22.36
oti,22.27
phi,21.94
cin,21.72
nor,21.71
den,21.48
dal,21.12
sea,20.23
mia,20.00
kan,19.73
pit,19.58
nyg,19.50
gnb,18.18
car,18.11
ram,17.56
htx,17.12
min,17.01
atl,15.86
was,15.31
sfo,14.86
crd,13.68
cle,12.69
det,12.02
tam,11.31
rai,7.99
