id,rating
pit,33.44
clt,30.22
den,29.48
sea,28.64
sdg,26.77
car,26.69
was,25.56
kan,25.45
nyg,24.54
nwe,24.25
jax,23.59
cin,23.54
dal,23.17
chi,22.79
tam,20.50
atl,19.34
min,19.25
mia,19.01
phi,18.27
rav,17.65
cle,16.21
gnb,15.47
rai,15.47
buf,14.71
ram,14.51
crd,14.21
det,14.20
nyj,12.82
nor,10.90
oti,10.88
sfo,10.28
htx,8.21
