id,date,week,home,away,homePts,awayPts
1,"Sep 10, 2015",1,nwe,pit,28,21
2,"Sep 13, 2015",1,chi,gnb,23,31
3,"Sep 13, 2015",1,ram,sea,34,31
4,"Sep 13, 2015",1,was,mia,10,17
5,"Sep 13, 2015",1,htx,kan,20,27
6,"Sep 13, 2015",1,buf,clt,27,14
7,"Sep 13, 2015",1,jax,car,9,20
8,"Sep 13, 2015",1,nyj,cle,31,10
9,"Sep 13, 2015",1,sdg,det,33,28
10,"Sep 13, 2015",1,crd,nor,31,19
11,"Sep 13, 2015",1,tam,oti,14,42
12,"Sep 13, 2015",1,rai,cin,13,33
13,"Sep 13, 2015",1,den,rav,19,13
14,"Sep 13, 2015",1,dal,nyg,27,26
15,"Sep 14, 2015",1,atl,phi,26,24
16,"Sep 14, 2015",1,sfo,min,20,3
17,"Sep 17, 2015",2,kan,den,24,31
18,"Sep 20, 2015",2,chi,crd,23,48
19,"Sep 20, 2015",2,car,htx,24,17
20,"Sep 20, 2015",2,buf,nwe,32,40
21,"Sep 20, 2015",2,pit,sfo,43,18
22,"Sep 20, 2015",2,nyg,atl,20,24
23,"Sep 20, 2015",2,nor,tam,19,26
24,"Sep 20, 2015",2,cle,oti,28,14
25,"Sep 20, 2015",2,was,ram,24,10
26,"Sep 20, 2015",2,min,det,26,16
27,"Sep 20, 2015",2,cin,sdg,24,19
28,"Sep 20, 2015",2,rai,rav,37,33
29,"Sep 20, 2015",2,jax,mia,23,20
30,"Sep 20, 2015",2,phi,dal,10,20
31,"Sep 20, 2015",2,gnb,sea,27,17
32,"Sep 21, 2015",2,clt,nyj,7,20
33,"Sep 24, 2015",3,nyg,was,32,21
34,"Sep 27, 2015",3,ram,pit,6,12
35,"Sep 27, 2015",3,cle,rai,20,27
36,"Sep 27, 2015",3,rav,cin,24,28
37,"Sep 27, 2015",3,min,sdg,31,14
38,"Sep 27, 2015",3,car,nor,27,22
39,"Sep 27, 2015",3,oti,clt,33,35
40,"Sep 27, 2015",3,nyj,phi,17,24
41,"Sep 27, 2015",3,htx,tam,19,9
42,"Sep 27, 2015",3,dal,atl,28,39
43,"Sep 27, 2015",3,nwe,jax,51,17
44,"Sep 27, 2015",3,crd,sfo,47,7
45,"Sep 27, 2015",3,mia,buf,14,41
46,"Sep 27, 2015",3,sea,chi,26,0
47,"Sep 27, 2015",3,det,den,12,24
48,"Sep 28, 2015",3,gnb,kan,38,28
49,"Oct 1, 2015",4,pit,rav,20,23
50,"Oct 4, 2015",4,mia,nyj,14,27
51,"Oct 4, 2015",4,buf,nyg,10,24
52,"Oct 4, 2015",4,atl,htx,48,21
53,"Oct 4, 2015",4,clt,jax,16,13
54,"Oct 4, 2015",4,chi,rai,22,20
55,"Oct 4, 2015",4,was,phi,23,20
56,"Oct 4, 2015",4,tam,car,23,37
57,"Oct 4, 2015",4,cin,kan,36,21
58,"Oct 4, 2015",4,sdg,cle,30,27
59,"Oct 4, 2015",4,sfo,gnb,3,17
60,"Oct 4, 2015",4,den,min,23,20
61,"Oct 4, 2015",4,crd,ram,22,24
62,"Oct 4, 2015",4,nor,dal,26,20
63,"Oct 5, 2015",4,sea,det,13,10
64,"Oct 8, 2015",5,htx,clt,20,27
65,"Oct 11, 2015",5,atl,was,25,19
66,"Oct 11, 2015",5,tam,jax,38,31
67,"Oct 11, 2015",5,rav,cle,30,33
68,"Oct 11, 2015",5,kan,chi,17,18
69,"Oct 11, 2015",5,gnb,ram,24,10
70,"Oct 11, 2015",5,cin,sea,27,24
71,"Oct 11, 2015",5,oti,buf,13,14
72,"Oct 11, 2015",5,phi,nor,39,17
73,"Oct 11, 2015",5,det,crd,17,42
74,"Oct 11, 2015",5,rai,den,10,16
75,"Oct 11, 2015",5,dal,nwe,6,30
76,"Oct 11, 2015",5,nyg,sfo,30,27
77,"Oct 12, 2015",5,sdg,pit,20,24
78,"Oct 15, 2015",6,nor,atl,31,21
79,"Oct 18, 2015",6,cle,den,23,26
80,"Oct 18, 2015",6,buf,cin,21,34
81,"Oct 18, 2015",6,nyj,was,34,20
82,"Oct 18, 2015",6,min,kan,16,10
83,"Oct 18, 2015",6,jax,htx,20,31
84,"Oct 18, 2015",6,det,chi,37,34
85,"Oct 18, 2015",6,oti,mia,10,38
86,"Oct 18, 2015",6,pit,crd,25,13
87,"Oct 18, 2015",6,sea,car,23,27
88,"Oct 18, 2015",6,sfo,rav,25,20
89,"Oct 18, 2015",6,gnb,sdg,27,20
90,"Oct 18, 2015",6,clt,nwe,27,34
91,"Oct 19, 2015",6,phi,nyg,27,7
92,"Oct 22, 2015",7,sfo,sea,3,20
93,"Oct 25, 2015",7,jax,buf,34,31
94,"Oct 25, 2015",7,ram,cle,24,6
95,"Oct 25, 2015",7,oti,atl,7,10
96,"Oct 25, 2015",7,nwe,nyj,30,23
97,"Oct 25, 2015",7,mia,htx,44,26
98,"Oct 25, 2015",7,det,min,19,28
99,"Oct 25, 2015",7,clt,nor,21,27
100,"Oct 25, 2015",7,kan,pit,23,13
101,"Oct 25, 2015",7,was,tam,31,30
102,"Oct 25, 2015",7,sdg,rai,29,37
103,"Oct 25, 2015",7,nyg,dal,27,20
104,"Oct 25, 2015",7,car,phi,27,16
105,"Oct 26, 2015",7,crd,rav,26,18
106,"Oct 29, 2015",8,nwe,mia,36,7
107,"Nov 1, 2015",8,kan,det,45,10
108,"Nov 1, 2015",8,chi,min,20,23
109,"Nov 1, 2015",8,ram,sfo,27,6
110,"Nov 1, 2015",8,atl,tam,20,23
111,"Nov 1, 2015",8,rav,sdg,29,26
112,"Nov 1, 2015",8,pit,cin,10,16
113,"Nov 1, 2015",8,nor,nyg,52,49
114,"Nov 1, 2015",8,htx,oti,20,6
115,"Nov 1, 2015",8,cle,crd,20,34
116,"Nov 1, 2015",8,rai,nyj,34,20
117,"Nov 1, 2015",8,dal,sea,12,13
118,"Nov 1, 2015",8,den,gnb,29,10
119,"Nov 2, 2015",8,car,clt,29,26
120,"Nov 5, 2015",9,cin,cle,31,10
121,"Nov 8, 2015",9,buf,mia,33,17
122,"Nov 8, 2015",9,pit,rai,38,35
123,"Nov 8, 2015",9,nyj,jax,28,23
124,"Nov 8, 2015",9,nwe,was,27,10
125,"Nov 8, 2015",9,nor,oti,28,34
126,"Nov 8, 2015",9,min,ram,21,18
127,"Nov 8, 2015",9,car,gnb,37,29
128,"Nov 8, 2015",9,tam,nyg,18,32
129,"Nov 8, 2015",9,sfo,atl,17,16
130,"Nov 8, 2015",9,clt,den,27,24
131,"Nov 8, 2015",9,dal,phi,27,33
132,"Nov 9, 2015",9,sdg,chi,19,22
133,"Nov 12, 2015",10,nyj,buf,17,22
134,"Nov 15, 2015",10,ram,chi,13,37
135,"Nov 15, 2015",10,oti,car,10,27
136,"Nov 15, 2015",10,gnb,det,16,18
137,"Nov 15, 2015",10,pit,cle,30,9
138,"Nov 15, 2015",10,was,nor,47,14
139,"Nov 15, 2015",10,tam,dal,10,6
140,"Nov 15, 2015",10,rav,jax,20,22
141,"Nov 15, 2015",10,phi,mia,19,20
142,"Nov 15, 2015",10,rai,min,14,30
