id,date,week,home,away,homePts,awayPts
1,"Sep 5, 2013",1,den,rav,49,27
2,"Sep 8, 2013",1,buf,nwe,21,23
3,"Sep 8, 2013",1,pit,oti,9,16
4,"Sep 8, 2013",1,det,min,34,24
5,"Sep 8, 2013",1,clt,rai,21,17
6,"Sep 8, 2013",1,cle,mia,10,23
7,"Sep 8, 2013",1,chi,cin,24,21
8,"Sep 8, 2013",1,nyj,tam,18,17
9,"Sep 8, 2013",1,nor,atl,23,17
10,"Sep 8, 2013",1,jax,kan,2,28
11,"Sep 8, 2013",1,car,sea,7,12
12,"Sep 8, 2013",1,ram,crd,27,24
13,"Sep 8, 2013",1,sfo,gnb,34,28
14,"Sep 8, 2013",1,dal,nyg,36,31
15,"Sep 9, 2013",1,was,phi,27,33
16,"Sep 9, 2013",1,sdg,htx,28,31
17,"Sep 12, 2013",2,nwe,nyj,13,10
18,"Sep 15, 2013",2,buf,car,24,23
19,"Sep 15, 2013",2,rav,cle,14,6
20,"Sep 15, 2013",2,phi,sdg,30,33
21,"Sep 15, 2013",2,kan,dal,17,16
22,"Sep 15, 2013",2,gnb,was,38,20
23,"Sep 15, 2013",2,clt,mia,20,24
24,"Sep 15, 2013",2,atl,ram,31,24
25,"Sep 15, 2013",2,htx,oti,30,24
26,"Sep 15, 2013",2,chi,min,31,30
27,"Sep 15, 2013",2,tam,nor,14,16
28,"Sep 15, 2013",2,crd,det,25,21
29,"Sep 15, 2013",2,rai,jax,19,9
30,"Sep 15, 2013",2,nyg,den,23,41
31,"Sep 15, 2013",2,sea,sfo,29,3
32,"Sep 16, 2013",2,cin,pit,20,10
33,"Sep 19, 2013",3,phi,kan,16,26
34,"Sep 22, 2013",3,nwe,tam,23,3
35,"Sep 22, 2013",3,dal,ram,31,7
36,"Sep 22, 2013",3,cin,gnb,34,30
37,"Sep 22, 2013",3,car,nyg,38,0
38,"Sep 22, 2013",3,was,det,20,27
39,"Sep 22, 2013",3,rav,htx,30,9
40,"Sep 22, 2013",3,oti,sdg,20,17
