id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 6, 2018",1,phi,atl,18,12,0.6761404861924142
2,"Sep 9, 2018",1,cle,pit,21,21,0.4630023837341841
3,"Sep 9, 2018",1,rav,buf,47,3,0.8404569036524516
4,"Sep 9, 2018",1,nyg,jax,15,20,0.5870341800088577
5,"Sep 9, 2018",1,nwe,htx,27,20,0.7103008224164605
6,"Sep 9, 2018",1,nor,tam,40,48,0.8108885569609688
7,"Sep 9, 2018",1,min,sfo,24,16,0.7388183062022791
8,"Sep 9, 2018",1,mia,oti,27,20,0.3098374204202911
9,"Sep 9, 2018",1,clt,cin,23,34,0.7770590459663537
10,"Sep 9, 2018",1,sdg,kan,28,38,0.501185624171431
11,"Sep 9, 2018",1,car,dal,16,8,0.5387680294811991
12,"Sep 9, 2018",1,den,sea,27,24,0.395696874120457
13,"Sep 9, 2018",1,crd,was,6,24,0.3874208186609286
14,"Sep 9, 2018",1,gnb,chi,24,23,0.3297557673714104
15,"Sep 10, 2018",1,det,nyj,17,48,0.7412281569704235
16,"Sep 10, 2018",1,rai,ram,13,33,0.1993273394260191
17,"Sep 13, 2018",2,cin,rav,34,23,0.3172125487294075
18,"Sep 16, 2018",2,buf,sdg,20,31,0.260216371371227
19,"Sep 16, 2018",2,atl,car,31,24,0.5343406327344689
20,"Sep 16, 2018",2,was,clt,9,21,0.31747731689638503
21,"Sep 16, 2018",2,tam,phi,27,21,0.3877053735995365
22,"Sep 16, 2018",2,pit,kan,37,42,0.4703865999015623
23,"Sep 16, 2018",2,oti,htx,20,17,0.5088914581299528
24,"Sep 16, 2018",2,nyj,mia,12,20,0.5590638534368828
25,"Sep 16, 2018",2,nor,cle,21,18,0.7221310270726604
26,"Sep 16, 2018",2,gnb,min,29,29,0.4535695011967857
27,"Sep 16, 2018",2,sfo,det,30,27,0.4798529308153786
28,"Sep 16, 2018",2,ram,crd,34,0,0.9255759674505306
29,"Sep 16, 2018",2,jax,nwe,31,20,0.24246289295201173
