id,date,week,home,away,homePts,awayPts
1,"Sep 8, 2016",1,den,car,21,20
2,"Sep 11, 2016",1,rav,buf,13,7
3,"Sep 11, 2016",1,jax,gnb,23,27
4,"Sep 11, 2016",1,atl,tam,24,31
5,"Sep 11, 2016",1,phi,cle,29,10
6,"Sep 11, 2016",1,oti,min,16,25
7,"Sep 11, 2016",1,nyj,cin,22,23
8,"Sep 11, 2016",1,nor,rai,34,35
9,"Sep 11, 2016",1,kan,sdg,33,27
10,"Sep 11, 2016",1,htx,chi,23,14
11,"Sep 11, 2016",1,sea,mia,12,10
12,"Sep 11, 2016",1,clt,det,35,39
13,"Sep 11, 2016",1,dal,nyg,19,20
14,"Sep 11, 2016",1,crd,nwe,21,23
15,"Sep 12, 2016",1,was,pit,16,38
16,"Sep 12, 2016",1,sfo,ram,28,0
17,"Sep 15, 2016",2,buf,nyj,31,37
18,"Sep 18, 2016",2,cle,rav,20,25
19,"Sep 18, 2016",2,pit,cin,24,16
20,"Sep 18, 2016",2,nwe,mia,31,24
21,"Sep 18, 2016",2,htx,kan,19,12
22,"Sep 18, 2016",2,det,oti,15,16
23,"Sep 18, 2016",2,car,sfo,46,27
24,"Sep 18, 2016",2,was,dal,23,27
25,"Sep 18, 2016",2,nyg,nor,16,13
26,"Sep 18, 2016",2,crd,tam,40,7
27,"Sep 18, 2016",2,ram,sea,9,3
28,"Sep 18, 2016",2,sdg,jax,38,14
29,"Sep 18, 2016",2,rai,atl,28,35
30,"Sep 18, 2016",2,den,clt,34,20
31,"Sep 18, 2016",2,min,gnb,17,14
32,"Sep 19, 2016",2,chi,phi,14,29
33,"Sep 22, 2016",3,nwe,htx,27,0
34,"Sep 25, 2016",3,car,min,10,22
35,"Sep 25, 2016",3,buf,crd,33,18
36,"Sep 25, 2016",3,oti,rai,10,17
37,"Sep 25, 2016",3,nyg,was,27,29
38,"Sep 25, 2016",3,mia,cle,30,24
39,"Sep 25, 2016",3,jax,rav,17,19
40,"Sep 25, 2016",3,gnb,det,34,27
41,"Sep 25, 2016",3,cin,den,17,29
42,"Sep 25, 2016",3,tam,ram,32,37
43,"Sep 25, 2016",3,sea,sfo,37,18
