id,date,week,home,away,homePts,awayPts
1,"Sep 5, 2012",1,nyg,dal,17,24
2,"Sep 9, 2012",1,chi,clt,41,21
3,"Sep 9, 2012",1,cle,phi,16,17
4,"Sep 9, 2012",1,oti,nwe,13,34
5,"Sep 9, 2012",1,nyj,buf,48,28
6,"Sep 9, 2012",1,nor,was,32,40
7,"Sep 9, 2012",1,kan,atl,24,40
8,"Sep 9, 2012",1,htx,mia,30,10
9,"Sep 9, 2012",1,det,ram,27,23
10,"Sep 9, 2012",1,min,jax,26,23
11,"Sep 9, 2012",1,gnb,sfo,22,30
12,"Sep 9, 2012",1,crd,sea,20,16
13,"Sep 9, 2012",1,tam,car,16,10
14,"Sep 9, 2012",1,den,pit,31,19
15,"Sep 10, 2012",1,rav,cin,44,13
16,"Sep 10, 2012",1,rai,sdg,14,22
17,"Sep 13, 2012",2,gnb,chi,23,10
18,"Sep 16, 2012",2,buf,kan,35,17
19,"Sep 16, 2012",2,nwe,crd,18,20
20,"Sep 16, 2012",2,mia,rai,35,13
21,"Sep 16, 2012",2,cin,cle,34,27
22,"Sep 16, 2012",2,car,nor,35,27
23,"Sep 16, 2012",2,phi,rav,24,23
24,"Sep 16, 2012",2,nyg,tam,41,34
25,"Sep 16, 2012",2,jax,htx,7,27
26,"Sep 16, 2012",2,clt,min,23,20
27,"Sep 16, 2012",2,ram,was,31,28
28,"Sep 16, 2012",2,sea,dal,27,7
29,"Sep 16, 2012",2,sdg,oti,38,10
30,"Sep 16, 2012",2,pit,nyj,27,10
31,"Sep 16, 2012",2,sfo,det,27,19
32,"Sep 17, 2012",2,atl,den,27,21
33,"Sep 20, 2012",3,car,nyg,7,36
34,"Sep 23, 2012",3,cle,buf,14,24
35,"Sep 23, 2012",3,nor,kan,24,27
36,"Sep 23, 2012",3,was,cin,31,38
37,"Sep 23, 2012",3,oti,det,44,41
38,"Sep 23, 2012",3,mia,nyj,20,23
39,"Sep 23, 2012",3,clt,jax,17,22
40,"Sep 23, 2012",3,chi,ram,23,6
41,"Sep 23, 2012",3,min,sfo,24,13
42,"Sep 23, 2012",3,dal,tam,16,10
43,"Sep 23, 2012",3,sdg,atl,3,27
44,"Sep 23, 2012",3,crd,phi,27,6
45,"Sep 23, 2012",3,rai,pit,34,31
46,"Sep 23, 2012",3,den,htx,25,31
47,"Sep 23, 2012",3,rav,nwe,31,30
48,"Sep 24, 2012",3,sea,gnb,14,12
49,"Sep 27, 2012",4,rav,cle,23,16
50,"Sep 30, 2012",4,ram,sea,19,13
51,"Sep 30, 2012",4,buf,nwe,28,52
52,"Sep 30, 2012",4,atl,car,30,28
53,"Sep 30, 2012",4,nyj,sfo,0,34
54,"Sep 30, 2012",4,kan,sdg,20,37
55,"Sep 30, 2012",4,htx,oti,38,14
56,"Sep 30, 2012",4,det,min,13,20
57,"Sep 30, 2012",4,jax,cin,10,27
58,"Sep 30, 2012",4,den,rai,37,6
59,"Sep 30, 2012",4,crd,mia,24,21
60,"Sep 30, 2012",4,tam,was,22,24
61,"Sep 30, 2012",4,gnb,nor,28,27
62,"Sep 30, 2012",4,phi,nyg,19,17
63,"Oct 1, 2012",4,dal,chi,18,34
64,"Oct 4, 2012",5,ram,crd,17,3
65,"Oct 7, 2012",5,pit,phi,16,14
66,"Oct 7, 2012",5,nyg,cle,41,27
67,"Oct 7, 2012",5,kan,rav,6,9
68,"Oct 7, 2012",5,cin,mia,13,17
69,"Oct 7, 2012",5,clt,gnb,30,27
70,"Oct 7, 2012",5,was,atl,17,24
71,"Oct 7, 2012",5,car,sea,12,16
72,"Oct 7, 2012",5,jax,chi,3,41
73,"Oct 7, 2012",5,min,oti,30,7
74,"Oct 7, 2012",5,sfo,buf,45,3
75,"Oct 7, 2012",5,nwe,den,31,21
76,"Oct 7, 2012",5,nor,sdg,31,24
77,"Oct 8, 2012",5,nyj,htx,17,23
78,"Oct 11, 2012",6,oti,pit,26,23
79,"Oct 14, 2012",6,tam,kan,38,10
80,"Oct 14, 2012",6,mia,ram,17,14
81,"Oct 14, 2012",6,atl,rai,23,20
82,"Oct 14, 2012",6,cle,cin,34,24
83,"Oct 14, 2012",6,rav,dal,31,29
84,"Oct 14, 2012",6,nyj,clt,35,9
85,"Oct 14, 2012",6,phi,det,23,26
86,"Oct 14, 2012",6,sea,nwe,24,23
87,"Oct 14, 2012",6,crd,buf,16,19
88,"Oct 14, 2012",6,sfo,nyg,3,26
89,"Oct 14, 2012",6,was,min,38,26
90,"Oct 14, 2012",6,htx,gnb,24,42
91,"Oct 15, 2012",6,sdg,den,24,35
92,"Oct 18, 2012",7,sfo,sea,13,6
93,"Oct 21, 2012",7,ram,gnb,20,30
94,"Oct 21, 2012",7,buf,oti,34,35
95,"Oct 21, 2012",7,tam,nor,28,35
96,"Oct 21, 2012",7,htx,rav,43,13
97,"Oct 21, 2012",7,clt,cle,17,13
98,"Oct 21, 2012",7,car,dal,14,19
99,"Oct 21, 2012",7,nyg,was,27,23
100,"Oct 21, 2012",7,min,crd,21,14
101,"Oct 21, 2012",7,rai,jax,26,23
102,"Oct 21, 2012",7,nwe,nyj,29,26
103,"Oct 21, 2012",7,cin,pit,17,24
104,"Oct 22, 2012",7,chi,det,13,7
105,"Oct 25, 2012",8,min,tam,17,36
106,"Oct 28, 2012",8,pit,was,27,12
107,"Oct 28, 2012",8,chi,car,23,22
108,"Oct 28, 2012",8,phi,atl,17,30
109,"Oct 28, 2012",8,det,sea,28,24
110,"Oct 28, 2012",8,gnb,jax,24,15
111,"Oct 28, 2012",8,cle,sdg,7,6
112,"Oct 28, 2012",8,ram,nwe,7,45
113,"Oct 28, 2012",8,oti,clt,13,19
114,"Oct 28, 2012",8,nyj,mia,9,30
115,"Oct 28, 2012",8,kan,rai,16,26
116,"Oct 28, 2012",8,dal,nyg,24,29
117,"Oct 28, 2012",8,den,nor,34,14
118,"Oct 29, 2012",8,crd,sfo,3,24
119,"Nov 1, 2012",9,sdg,kan,31,13
120,"Nov 4, 2012",9,cin,den,23,31
121,"Nov 4, 2012",9,htx,buf,21,9
122,"Nov 4, 2012",9,gnb,crd,31,17
123,"Nov 4, 2012",9,clt,mia,23,20
124,"Nov 4, 2012",9,cle,rav,15,25
125,"Nov 4, 2012",9,oti,chi,20,51
126,"Nov 4, 2012",9,jax,det,14,31
127,"Nov 4, 2012",9,was,car,13,21
128,"Nov 4, 2012",9,rai,tam,32,42
129,"Nov 4, 2012",9,sea,min,30,20
130,"Nov 4, 2012",9,nyg,pit,20,24
131,"Nov 4, 2012",9,atl,dal,19,13
132,"Nov 5, 2012",9,nor,phi,28,13
133,"Nov 8, 2012",10,jax,clt,10,27
134,"Nov 11, 2012",10,car,den,14,36
135,"Nov 11, 2012",10,rav,rai,55,20
136,"Nov 11, 2012",10,nwe,buf,37,31
137,"Nov 11, 2012",10,nor,atl,31,27
138,"Nov 11, 2012",10,tam,sdg,34,24
139,"Nov 11, 2012",10,mia,oti,3,37
140,"Nov 11, 2012",10,cin,nyg,31,13
141,"Nov 11, 2012",10,min,det,34,24
142,"Nov 11, 2012",10,sea,nyj,28,7
143,"Nov 11, 2012",10,sfo,ram,24,24
144,"Nov 11, 2012",10,phi,dal,23,38
145,"Nov 11, 2012",10,chi,htx,6,13
146,"Nov 12, 2012",10,pit,kan,16,13
147,"Nov 15, 2012",11,buf,mia,19,14
148,"Nov 18, 2012",11,ram,nyj,13,27
149,"Nov 18, 2012",11,det,gnb,20,24
150,"Nov 18, 2012",11,atl,crd,23,19
151,"Nov 18, 2012",11,was,phi,31,6
152,"Nov 18, 2012",11,kan,cin,6,28
153,"Nov 18, 2012",11,htx,jax,43,37
154,"Nov 18, 2012",11,car,tam,21,27
155,"Nov 18, 2012",11,dal,cle,23,20
156,"Nov 18, 2012",11,rai,nor,17,38
157,"Nov 18, 2012",11,nwe,clt,59,24
158,"Nov 18, 2012",11,den,sdg,30,23
159,"Nov 18, 2012",11,pit,rav,10,13
160,"Nov 19, 2012",11,sfo,chi,32,7
161,"Nov 22, 2012",12,det,htx,31,34
162,"Nov 22, 2012",12,dal,was,31,38
163,"Nov 22, 2012",12,nyj,nwe,19,49
164,"Nov 25, 2012",12,chi,min,28,10
165,"Nov 25, 2012",12,tam,atl,23,24
166,"Nov 25, 2012",12,cle,pit,20,14
167,"Nov 25, 2012",12,cin,rai,34,10
168,"Nov 25, 2012",12,mia,sea,24,21
169,"Nov 25, 2012",12,kan,den,9,17
170,"Nov 25, 2012",12,jax,oti,24,19
171,"Nov 25, 2012",12,clt,buf,20,13
172,"Nov 25, 2012",12,sdg,rav,13,16
173,"Nov 25, 2012",12,nor,sfo,21,31
174,"Nov 25, 2012",12,crd,ram,17,31
175,"Nov 25, 2012",12,nyg,gnb,38,10
176,"Nov 26, 2012",12,phi,car,22,30
177,"Nov 29, 2012",13,atl,nor,23,13
178,"Dec 2, 2012",13,ram,sfo,16,13
179,"Dec 2, 2012",13,buf,jax,34,18
180,"Dec 2, 2012",13,oti,htx,10,24
181,"Dec 2, 2012",13,mia,nwe,16,23
182,"Dec 2, 2012",13,gnb,min,23,14
183,"Dec 2, 2012",13,chi,sea,17,23
184,"Dec 2, 2012",13,nyj,crd,7,6
185,"Dec 2, 2012",13,kan,car,27,21
186,"Dec 2, 2012",13,det,clt,33,35
187,"Dec 2, 2012",13,den,tam,31,23
188,"Dec 2, 2012",13,sdg,cin,13,20
189,"Dec 2, 2012",13,rav,pit,20,23
190,"Dec 2, 2012",13,rai,cle,17,20
191,"Dec 2, 2012",13,dal,phi,38,33
192,"Dec 3, 2012",13,was,nyg,17,16
193,"Dec 6, 2012",14,rai,den,13,26
194,"Dec 9, 2012",14,buf,ram,12,15
195,"Dec 9, 2012",14,pit,sdg,24,34
196,"Dec 9, 2012",14,jax,nyj,10,17
197,"Dec 9, 2012",14,clt,oti,27,23
198,"Dec 9, 2012",14,cle,kan,30,7
199,"Dec 9, 2012",14,was,rav,31,28
200,"Dec 9, 2012",14,tam,phi,21,23
201,"Dec 9, 2012",14,cin,dal,19,20
202,"Dec 9, 2012",14,car,atl,30,20
203,"Dec 9, 2012",14,min,chi,21,14
204,"Dec 9, 2012",14,sfo,mia,27,13
205,"Dec 9, 2012",14,sea,crd,58,0
206,"Dec 9, 2012",14,nyg,nor,52,27
207,"Dec 9, 2012",14,gnb,det,27,20
208,"Dec 10, 2012",14,nwe,htx,42,14
209,"Dec 13, 2012",15,phi,cin,13,34
210,"Dec 16, 2012",15,ram,min,22,36
211,"Dec 16, 2012",15,rav,den,17,34
212,"Dec 16, 2012",15,htx,clt,29,17
213,"Dec 16, 2012",15,atl,nyg,34,0
214,"Dec 16, 2012",15,nor,tam,41,0
215,"Dec 16, 2012",15,mia,jax,24,3
216,"Dec 16, 2012",15,cle,was,21,38
217,"Dec 16, 2012",15,chi,gnb,13,21
218,"Dec 16, 2012",15,buf,sea,17,50
219,"Dec 16, 2012",15,sdg,car,7,31
220,"Dec 16, 2012",15,crd,det,38,10
221,"Dec 16, 2012",15,rai,kan,15,0
222,"Dec 16, 2012",15,dal,pit,27,24
223,"Dec 16, 2012",15,nwe,sfo,34,41
224,"Dec 17, 2012",15,oti,nyj,14,10
225,"Dec 22, 2012",16,det,atl,18,31
226,"Dec 23, 2012",16,pit,cin,10,13
227,"Dec 23, 2012",16,mia,buf,24,10
228,"Dec 23, 2012",16,jax,nwe,16,23
229,"Dec 23, 2012",16,gnb,oti,55,7
230,"Dec 23, 2012",16,dal,nor,31,34
231,"Dec 23, 2012",16,tam,ram,13,28
232,"Dec 23, 2012",16,phi,was,20,27
233,"Dec 23, 2012",16,nyj,sdg,17,27
234,"Dec 23, 2012",16,kan,clt,13,20
235,"Dec 23, 2012",16,htx,min,6,23
236,"Dec 23, 2012",16,car,rai,17,6
237,"Dec 23, 2012",16,den,cle,34,12
238,"Dec 23, 2012",16,crd,chi,13,28
239,"Dec 23, 2012",16,rav,nyg,33,14
240,"Dec 23, 2012",16,sea,sfo,42,13
241,"Dec 30, 2012",17,buf,nyj,28,9
242,"Dec 30, 2012",17,atl,tam,17,22
243,"Dec 30, 2012",17,pit,cle,24,10
244,"Dec 30, 2012",17,oti,jax,38,20
245,"Dec 30, 2012",17,clt,htx,28,16
246,"Dec 30, 2012",17,cin,rav,23,17
247,"Dec 30, 2012",17,nor,car,38,44
248,"Dec 30, 2012",17,det,chi,24,26
249,"Dec 30, 2012",17,nyg,phi,42,7
250,"Dec 30, 2012",17,sdg,rai,24,21
251,"Dec 30, 2012",17,sfo,crd,27,13
252,"Dec 30, 2012",17,nwe,mia,28,0
253,"Dec 30, 2012",17,min,gnb,37,34
254,"Dec 30, 2012",17,den,kan,38,3
255,"Dec 30, 2012",17,sea,ram,20,13
256,"Dec 30, 2012",17,was,dal,28,18
