id,date,week,home,away,homePts,awayPts
1,"Sep 9, 2004",1,nwe,clt,27,24
2,"Sep 11, 2004",1,mia,oti,7,17
3,"Sep 12, 2004",1,buf,jax,10,13
4,"Sep 12, 2004",1,ram,crd,17,10
5,"Sep 12, 2004",1,pit,rai,24,21
6,"Sep 12, 2004",1,htx,sdg,20,27
7,"Sep 12, 2004",1,chi,det,16,20
8,"Sep 12, 2004",1,was,tam,16,10
9,"Sep 12, 2004",1,nor,sea,7,21
10,"Sep 12, 2004",1,nyj,cin,31,24
11,"Sep 12, 2004",1,cle,rav,20,3
12,"Sep 12, 2004",1,min,dal,35,17
13,"Sep 12, 2004",1,sfo,atl,19,21
14,"Sep 12, 2004",1,phi,nyg,31,17
15,"Sep 12, 2004",1,den,kan,34,24
16,"Sep 13, 2004",1,car,gnb,14,24
17,"Sep 19, 2004",2,kan,car,17,28
18,"Sep 19, 2004",2,rav,pit,30,13
19,"Sep 19, 2004",2,oti,clt,17,31
20,"Sep 19, 2004",2,jax,den,7,6
21,"Sep 19, 2004",2,gnb,chi,10,21
22,"Sep 19, 2004",2,atl,ram,34,17
23,"Sep 19, 2004",2,nor,sfo,30,27
24,"Sep 19, 2004",2,nyg,was,20,14
25,"Sep 19, 2004",2,det,htx,28,16
26,"Sep 19, 2004",2,tam,sea,6,10
27,"Sep 19, 2004",2,sdg,nyj,28,34
28,"Sep 19, 2004",2,rai,buf,13,10
29,"Sep 19, 2004",2,dal,cle,19,12
30,"Sep 19, 2004",2,crd,nwe,12,23
31,"Sep 19, 2004",2,cin,mia,16,13
32,"Sep 20, 2004",2,phi,min,27,16
33,"Sep 26, 2004",3,min,chi,27,22
34,"Sep 26, 2004",3,kan,htx,21,24
35,"Sep 26, 2004",3,cin,rav,9,23
36,"Sep 26, 2004",3,ram,nor,25,28
37,"Sep 26, 2004",3,oti,jax,12,15
38,"Sep 26, 2004",3,nyg,cle,27,10
39,"Sep 26, 2004",3,det,phi,13,30
40,"Sep 26, 2004",3,atl,crd,6,3
41,"Sep 26, 2004",3,den,sdg,23,13
42,"Sep 26, 2004",3,clt,gnb,45,31
43,"Sep 26, 2004",3,sea,sfo,34,0
44,"Sep 26, 2004",3,rai,tam,30,20
