id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 8, 2011",1,gnb,nor,42,34,0.546136089312525
2,"Sep 11, 2011",1,ram,phi,13,31,0.167239279739119
3,"Sep 11, 2011",1,rav,pit,35,7,0.6415386818140651
4,"Sep 11, 2011",1,jax,oti,16,14,0.4292376395795233
5,"Sep 11, 2011",1,htx,clt,34,7,0.9171880155632797
6,"Sep 11, 2011",1,cle,cin,17,27,0.4283626199535829
7,"Sep 11, 2011",1,chi,atl,30,12,0.5646277195023272
8,"Sep 11, 2011",1,tam,det,20,27,0.22628007490227248
9,"Sep 11, 2011",1,kan,buf,7,41,0.45622008588840945
10,"Sep 11, 2011",1,crd,car,28,21,0.604589315041201
11,"Sep 11, 2011",1,sdg,min,24,17,0.7759491356937238
12,"Sep 11, 2011",1,sfo,sea,33,17,0.7979630654180473
13,"Sep 11, 2011",1,was,nyg,28,14,0.2575712474361721
14,"Sep 11, 2011",1,nyj,dal,27,24,0.597418051059905
15,"Sep 12, 2011",1,mia,nwe,24,38,0.3468717851365037
16,"Sep 12, 2011",1,den,rai,20,23,0.5876127342349312
17,"Sep 18, 2011",2,car,gnb,23,30,0.29224641165685666
18,"Sep 18, 2011",2,pit,sea,24,0,0.7115705199899836
19,"Sep 18, 2011",2,oti,rav,26,13,0.3729918582119065
20,"Sep 18, 2011",2,nyj,jax,32,3,0.7985903053702808
21,"Sep 18, 2011",2,nor,chi,30,13,0.8098817190991876
22,"Sep 18, 2011",2,det,kan,48,3,0.8232918639128877
23,"Sep 18, 2011",2,clt,cle,19,27,0.43859197949420403
24,"Sep 18, 2011",2,buf,rai,38,35,0.6432026320764846
25,"Sep 18, 2011",2,was,crd,22,21,0.5352264699222193
26,"Sep 18, 2011",2,min,tam,20,24,0.6569604080635923
27,"Sep 18, 2011",2,sfo,dal,24,27,0.7476768020174924
28,"Sep 18, 2011",2,nwe,sdg,35,21,0.8041827721474241
29,"Sep 18, 2011",2,mia,htx,13,23,0.4848868862266311
30,"Sep 18, 2011",2,den,cin,24,22,0.5065206521786028
31,"Sep 18, 2011",2,atl,phi,35,31,0.4506268360208856
32,"Sep 19, 2011",2,nyg,ram,28,16,0.9467097214184376
33,"Sep 25, 2011",3,car,jax,16,10,0.6734657348891215
34,"Sep 25, 2011",3,oti,den,17,14,0.6675499529371183
35,"Sep 25, 2011",3,nor,htx,40,33,0.6987572616935298
36,"Sep 25, 2011",3,cle,mia,17,16,0.3620757391098033
37,"Sep 25, 2011",3,cin,sfo,8,13,0.3166832930810113
38,"Sep 25, 2011",3,buf,nwe,34,31,0.26946058435797826
39,"Sep 25, 2011",3,phi,nyg,16,29,0.4928866214674329
40,"Sep 25, 2011",3,min,det,23,26,0.2886832095789809
41,"Sep 25, 2011",3,rai,nyj,34,24,0.3968421917684618
42,"Sep 25, 2011",3,sdg,kan,20,17,0.7607768799036436
43,"Sep 25, 2011",3,ram,rav,7,37,0.13951003012323665
44,"Sep 25, 2011",3,chi,gnb,17,27,0.3584613181859347
