id,date,week,home,away,homePts,awayPts
1,"Sep 4, 2008",1,nyg,was,16,7
2,"Sep 7, 2008",1,buf,sea,34,10
3,"Sep 7, 2008",1,pit,htx,38,17
4,"Sep 7, 2008",1,phi,ram,38,3
5,"Sep 7, 2008",1,nwe,kan,17,10
6,"Sep 7, 2008",1,nor,tam,24,20
7,"Sep 7, 2008",1,mia,nyj,14,20
8,"Sep 7, 2008",1,atl,det,34,21
9,"Sep 7, 2008",1,oti,jax,17,10
10,"Sep 7, 2008",1,rav,cin,17,10
11,"Sep 7, 2008",1,sdg,car,24,26
12,"Sep 7, 2008",1,sfo,crd,13,23
13,"Sep 7, 2008",1,cle,dal,10,28
14,"Sep 7, 2008",1,clt,chi,13,29
15,"Sep 8, 2008",1,gnb,min,24,19
16,"Sep 8, 2008",1,rai,den,14,41
17,"Sep 14, 2008",2,ram,nyg,13,41
18,"Sep 14, 2008",2,kan,rai,8,23
19,"Sep 14, 2008",2,cin,oti,7,24
20,"Sep 14, 2008",2,car,chi,20,17
21,"Sep 14, 2008",2,was,nor,29,24
22,"Sep 14, 2008",2,jax,buf,16,20
23,"Sep 14, 2008",2,det,gnb,25,48
24,"Sep 14, 2008",2,min,clt,15,18
25,"Sep 14, 2008",2,tam,atl,24,9
26,"Sep 14, 2008",2,sea,sfo,30,33
27,"Sep 14, 2008",2,nyj,nwe,10,19
28,"Sep 14, 2008",2,den,sdg,39,38
29,"Sep 14, 2008",2,crd,mia,31,10
30,"Sep 14, 2008",2,cle,pit,6,10
31,"Sep 15, 2008",2,dal,phi,41,37
32,"Sep 21, 2008",3,chi,tam,24,27
33,"Sep 21, 2008",3,buf,rai,24,23
34,"Sep 21, 2008",3,atl,kan,38,14
35,"Sep 21, 2008",3,was,crd,24,17
36,"Sep 21, 2008",3,oti,htx,31,12
37,"Sep 21, 2008",3,nyg,cin,26,23
38,"Sep 21, 2008",3,nwe,mia,13,38
39,"Sep 21, 2008",3,min,car,20,10
40,"Sep 21, 2008",3,sfo,det,31,13
41,"Sep 21, 2008",3,sea,ram,37,13
42,"Sep 21, 2008",3,den,nor,34,32
43,"Sep 21, 2008",3,phi,pit,15,6
44,"Sep 21, 2008",3,clt,jax,21,23
45,"Sep 21, 2008",3,rav,cle,28,10
46,"Sep 21, 2008",3,gnb,dal,16,27
47,"Sep 22, 2008",3,sdg,nyj,48,29
48,"Sep 28, 2008",4,kan,den,33,19
49,"Sep 28, 2008",4,cin,cle,12,20
50,"Sep 28, 2008",4,tam,gnb,30,21
51,"Sep 28, 2008",4,nyj,crd,56,35
52,"Sep 28, 2008",4,jax,htx,30,27
53,"Sep 28, 2008",4,oti,min,30,17
54,"Sep 28, 2008",4,nor,sfo,31,17
55,"Sep 28, 2008",4,car,atl,24,9
56,"Sep 28, 2008",4,ram,buf,14,31
57,"Sep 28, 2008",4,rai,sdg,18,28
58,"Sep 28, 2008",4,dal,was,24,26
59,"Sep 28, 2008",4,chi,phi,24,20
60,"Sep 29, 2008",4,pit,rav,23,20
61,"Oct 5, 2008",5,rav,oti,10,13
62,"Oct 5, 2008",5,htx,clt,27,31
63,"Oct 5, 2008",5,gnb,atl,24,27
64,"Oct 5, 2008",5,det,chi,7,34
65,"Oct 5, 2008",5,nyg,sea,44,6
66,"Oct 5, 2008",5,mia,sdg,17,10
67,"Oct 5, 2008",5,car,kan,34,0
68,"Oct 5, 2008",5,phi,was,17,23
69,"Oct 5, 2008",5,den,tam,16,13
70,"Oct 5, 2008",5,dal,cin,31,22
71,"Oct 5, 2008",5,sfo,nwe,21,30
72,"Oct 5, 2008",5,crd,buf,41,17
73,"Oct 5, 2008",5,jax,pit,21,26
74,"Oct 6, 2008",5,nor,min,27,30
75,"Oct 12, 2008",6,clt,rav,31,3
76,"Oct 12, 2008",6,atl,chi,22,20
77,"Oct 12, 2008",6,tam,car,27,3
78,"Oct 12, 2008",6,nyj,cin,26,14
79,"Oct 12, 2008",6,nor,rai,34,3
80,"Oct 12, 2008",6,htx,mia,29,28
81,"Oct 12, 2008",6,was,ram,17,19
82,"Oct 12, 2008",6,min,det,12,10
83,"Oct 12, 2008",6,den,jax,17,24
84,"Oct 12, 2008",6,crd,dal,30,24
85,"Oct 12, 2008",6,sfo,phi,26,40
86,"Oct 12, 2008",6,sea,gnb,17,27
87,"Oct 12, 2008",6,sdg,nwe,30,10
88,"Oct 13, 2008",6,cle,nyg,35,14
89,"Oct 19, 2008",7,ram,dal,34,14
90,"Oct 19, 2008",7,kan,oti,10,34
91,"Oct 19, 2008",7,chi,min,48,41
92,"Oct 19, 2008",7,buf,sdg,23,14
93,"Oct 19, 2008",7,nyg,sfo,29,17
94,"Oct 19, 2008",7,mia,rav,13,27
95,"Oct 19, 2008",7,car,nor,30,7
96,"Oct 19, 2008",7,cin,pit,10,38
97,"Oct 19, 2008",7,htx,det,28,21
98,"Oct 19, 2008",7,rai,nyj,16,13
99,"Oct 19, 2008",7,gnb,clt,34,14
100,"Oct 19, 2008",7,was,cle,14,11
101,"Oct 19, 2008",7,tam,sea,20,10
102,"Oct 20, 2008",7,nwe,den,41,7
103,"Oct 26, 2008",8,dal,tam,13,9
104,"Oct 26, 2008",8,rav,rai,29,10
105,"Oct 26, 2008",8,phi,atl,27,14
106,"Oct 26, 2008",8,nwe,ram,23,16
107,"Oct 26, 2008",8,det,was,17,25
108,"Oct 26, 2008",8,car,crd,27,23
109,"Oct 26, 2008",8,nyj,kan,28,24
110,"Oct 26, 2008",8,mia,buf,25,16
111,"Oct 26, 2008",8,nor,sdg,37,32
112,"Oct 26, 2008",8,htx,cin,35,6
113,"Oct 26, 2008",8,jax,cle,17,23
114,"Oct 26, 2008",8,sfo,sea,13,34
115,"Oct 26, 2008",8,pit,nyg,14,21
116,"Oct 27, 2008",8,oti,clt,31,21
117,"Nov 2, 2008",9,ram,crd,13,34
118,"Nov 2, 2008",9,cin,jax,21,19
119,"Nov 2, 2008",9,chi,det,27,23
120,"Nov 2, 2008",9,buf,nyj,17,26
121,"Nov 2, 2008",9,oti,gnb,19,16
122,"Nov 2, 2008",9,cle,rav,27,37
123,"Nov 2, 2008",9,kan,tam,27,30
124,"Nov 2, 2008",9,min,htx,28,21
125,"Nov 2, 2008",9,den,mia,17,26
126,"Nov 2, 2008",9,rai,atl,0,24
127,"Nov 2, 2008",9,nyg,dal,35,14
128,"Nov 2, 2008",9,sea,phi,7,26
129,"Nov 2, 2008",9,clt,nwe,18,15
130,"Nov 3, 2008",9,was,pit,6,23
131,"Nov 6, 2008",10,cle,den,30,34
132,"Nov 9, 2008",10,chi,oti,14,21
133,"Nov 9, 2008",10,nwe,buf,20,10
134,"Nov 9, 2008",10,htx,rav,13,41
135,"Nov 9, 2008",10,det,jax,14,38
136,"Nov 9, 2008",10,atl,nor,34,20
137,"Nov 9, 2008",10,nyj,ram,47,3
138,"Nov 9, 2008",10,mia,sea,21,19
139,"Nov 9, 2008",10,min,gnb,28,27
140,"Nov 9, 2008",10,rai,car,6,17
141,"Nov 9, 2008",10,sdg,kan,20,19
142,"Nov 9, 2008",10,pit,clt,20,24
143,"Nov 9, 2008",10,phi,nyg,31,36
144,"Nov 10, 2008",10,crd,sfo,29,24
145,"Nov 13, 2008",11,nwe,nyj,31,34
