id,date,week,home,away,homePts,awayPts
1,"Sep 7, 2017",1,nwe,kan,27,42
2,"Sep 10, 2017",1,chi,atl,17,23
3,"Sep 10, 2017",1,buf,nyj,21,12
4,"Sep 10, 2017",1,was,phi,17,30
5,"Sep 10, 2017",1,oti,rai,16,26
6,"Sep 10, 2017",1,htx,jax,7,29
7,"Sep 10, 2017",1,det,crd,35,23
8,"Sep 10, 2017",1,cle,pit,18,21
9,"Sep 10, 2017",1,cin,rav,0,20
10,"Sep 10, 2017",1,ram,clt,46,9
11,"Sep 10, 2017",1,sfo,car,3,23
12,"Sep 10, 2017",1,gnb,sea,17,9
13,"Sep 10, 2017",1,dal,nyg,19,3
14,"Sep 11, 2017",1,min,nor,29,19
15,"Sep 11, 2017",1,den,sdg,24,21
16,"Sep 14, 2017",2,cin,htx,9,13
17,"Sep 17, 2017",2,car,buf,9,3
18,"Sep 17, 2017",2,tam,chi,29,7
19,"Sep 17, 2017",2,rav,cle,24,10
20,"Sep 17, 2017",2,pit,min,26,9
21,"Sep 17, 2017",2,nor,nwe,20,36
22,"Sep 17, 2017",2,kan,phi,27,20
23,"Sep 17, 2017",2,jax,oti,16,37
24,"Sep 17, 2017",2,clt,crd,13,16
25,"Sep 17, 2017",2,sdg,mia,17,19
26,"Sep 17, 2017",2,rai,nyj,45,20
27,"Sep 17, 2017",2,sea,sfo,12,9
28,"Sep 17, 2017",2,ram,was,20,27
29,"Sep 17, 2017",2,den,dal,42,17
30,"Sep 17, 2017",2,atl,gnb,34,23
31,"Sep 18, 2017",2,nyg,det,10,24
32,"Sep 21, 2017",3,sfo,ram,39,41
33,"Sep 24, 2017",3,jax,rav,44,7
34,"Sep 24, 2017",3,car,nor,13,34
35,"Sep 24, 2017",3,buf,den,26,16
36,"Sep 24, 2017",3,phi,nyg,27,24
37,"Sep 24, 2017",3,nyj,mia,20,6
38,"Sep 24, 2017",3,nwe,htx,36,33
39,"Sep 24, 2017",3,min,tam,34,17
40,"Sep 24, 2017",3,det,atl,26,30
41,"Sep 24, 2017",3,clt,cle,31,28
42,"Sep 24, 2017",3,chi,pit,23,17
43,"Sep 24, 2017",3,oti,sea,33,27
44,"Sep 24, 2017",3,sdg,kan,10,24
45,"Sep 24, 2017",3,gnb,cin,27,24
46,"Sep 24, 2017",3,was,rai,27,10
47,"Sep 25, 2017",3,crd,dal,17,28
48,"Sep 28, 2017",4,gnb,chi,35,14
49,"Oct 1, 2017",4,mia,nor,0,20
50,"Oct 1, 2017",4,cle,cin,7,31
51,"Oct 1, 2017",4,atl,buf,17,23
52,"Oct 1, 2017",4,rav,pit,9,26
53,"Oct 1, 2017",4,nyj,jax,23,20
54,"Oct 1, 2017",4,nwe,car,30,33
55,"Oct 1, 2017",4,min,det,7,14
56,"Oct 1, 2017",4,htx,oti,57,14
57,"Oct 1, 2017",4,dal,ram,30,35
58,"Oct 1, 2017",4,tam,nyg,25,23
59,"Oct 1, 2017",4,sdg,phi,24,26
60,"Oct 1, 2017",4,crd,sfo,18,15
61,"Oct 1, 2017",4,den,rai,16,10
62,"Oct 1, 2017",4,sea,clt,46,18
63,"Oct 2, 2017",4,kan,was,29,20
64,"Oct 5, 2017",5,tam,nwe,14,19
65,"Oct 8, 2017",5,cle,nyj,14,17
66,"Oct 8, 2017",5,cin,buf,20,16
67,"Oct 8, 2017",5,pit,jax,9,30
68,"Oct 8, 2017",5,phi,crd,34,7
69,"Oct 8, 2017",5,nyg,sdg,22,27
70,"Oct 8, 2017",5,mia,oti,16,10
71,"Oct 8, 2017",5,det,car,24,27
72,"Oct 8, 2017",5,clt,sfo,26,23
73,"Oct 8, 2017",5,ram,sea,10,16
74,"Oct 8, 2017",5,rai,rav,17,30
75,"Oct 8, 2017",5,dal,gnb,31,35
76,"Oct 8, 2017",5,htx,kan,34,42
77,"Oct 9, 2017",5,chi,min,17,20
78,"Oct 12, 2017",6,car,phi,23,28
79,"Oct 15, 2017",6,atl,mia,17,20
80,"Oct 15, 2017",6,was,sfo,26,24
81,"Oct 15, 2017",6,rav,chi,24,27
