id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 4, 2014",1,sea,gnb,36,16,0.6490048488785131
2,"Sep 7, 2014",1,chi,buf,20,23,0.3259985952505865
3,"Sep 7, 2014",1,ram,min,6,34,0.5812384383750105
4,"Sep 7, 2014",1,rav,cin,16,23,0.7113167904210191
5,"Sep 7, 2014",1,pit,cle,30,27,0.7044266956180083
6,"Sep 7, 2014",1,phi,jax,34,17,0.8770847494222683
7,"Sep 7, 2014",1,nyj,rai,19,14,0.6503812836885379
8,"Sep 7, 2014",1,kan,oti,10,26,0.9190985159675976
9,"Sep 7, 2014",1,atl,nor,37,34,0.5358169313414964
10,"Sep 7, 2014",1,mia,nwe,33,20,0.2836287088553457
11,"Sep 7, 2014",1,htx,was,17,6,0.8248292436370046
12,"Sep 7, 2014",1,tam,car,14,20,0.33164084574269
13,"Sep 7, 2014",1,dal,sfo,17,28,0.7253610770962577
14,"Sep 7, 2014",1,den,clt,31,24,0.5907913480703741
15,"Sep 8, 2014",1,det,nyg,35,14,0.725361077096258
16,"Sep 8, 2014",1,crd,sdg,18,17,0.5748427413608796
17,"Sep 11, 2014",2,rav,pit,26,6,0.699791705524795
18,"Sep 14, 2014",2,buf,mia,29,10,0.6312192802455371
19,"Sep 14, 2014",2,oti,dal,10,26,0.15972360127704144
20,"Sep 14, 2014",2,cle,nor,26,24,0.551431425765667
21,"Sep 14, 2014",2,car,det,24,7,0.4760055599172159
22,"Sep 14, 2014",2,nyg,crd,14,25,0.4488625282093714
23,"Sep 14, 2014",2,was,jax,41,10,0.627570517128477
24,"Sep 14, 2014",2,min,nwe,7,30,0.19891242942456466
25,"Sep 14, 2014",2,cin,atl,24,10,0.7064760763413196
26,"Sep 14, 2014",2,tam,ram,17,19,0.3565203065818736
27,"Sep 14, 2014",2,sdg,sea,30,21,0.3554128195029822
28,"Sep 14, 2014",2,rai,htx,14,30,0.2984018935495127
29,"Sep 14, 2014",2,gnb,nyj,31,24,0.8632754125387921
30,"Sep 14, 2014",2,den,kan,24,17,0.6390377186001047
31,"Sep 14, 2014",2,sfo,chi,20,28,0.6938218850063548
32,"Sep 15, 2014",2,clt,phi,27,30,0.6686287137672022
33,"Sep 18, 2014",3,atl,tam,56,14,0.7241209442002021
34,"Sep 21, 2014",3,ram,dal,31,34,0.39226635844139895
35,"Sep 21, 2014",3,buf,sdg,10,22,0.6354147220506505
36,"Sep 21, 2014",3,phi,was,37,34,0.848789984510637
37,"Sep 21, 2014",3,nyg,htx,30,17,0.43947079426747065
38,"Sep 21, 2014",3,nwe,rai,16,9,0.953941853325006
39,"Sep 21, 2014",3,jax,clt,17,44,0.1566731832264614
40,"Sep 21, 2014",3,det,gnb,19,7,0.45474729064324904
41,"Sep 21, 2014",3,cle,rav,21,23,0.31827218141006614
42,"Sep 21, 2014",3,cin,oti,33,7,0.8644112327367014
43,"Sep 21, 2014",3,nor,min,20,9,0.558184252412578
44,"Sep 21, 2014",3,crd,sfo,23,14,0.6462461217490391
45,"Sep 21, 2014",3,sea,den,26,20,0.6465223431775649
46,"Sep 21, 2014",3,mia,kan,15,34,0.49199756179265325
47,"Sep 21, 2014",3,car,pit,19,37,0.5192589346365211
48,"Sep 22, 2014",3,nyj,chi,19,27,0.5693032234585579
49,"Sep 25, 2014",4,was,nyg,14,45,0.4234109486931656
50,"Sep 28, 2014",4,chi,gnb,17,38,0.24783657132847625
51,"Sep 28, 2014",4,rav,car,38,10,0.7490982417393806
52,"Sep 28, 2014",4,nyj,det,17,24,0.3471461192435079
53,"Sep 28, 2014",4,htx,buf,23,17,0.5248819904238223
54,"Sep 28, 2014",4,clt,oti,41,17,0.9364128762332063
55,"Sep 28, 2014",4,pit,tam,24,27,0.8353522822485783
56,"Sep 28, 2014",4,rai,mia,14,38,0.3002082944752051
57,"Sep 28, 2014",4,sdg,jax,33,14,0.8524179735897632
58,"Sep 28, 2014",4,sfo,phi,26,21,0.45857780156478656
59,"Sep 28, 2014",4,min,atl,41,28,0.6376457135560496
60,"Sep 28, 2014",4,dal,nor,38,17,0.7655918642198974
61,"Sep 29, 2014",4,kan,nwe,41,14,0.3609622813998954
62,"Oct 2, 2014",5,gnb,min,42,10,0.7992163767831296
63,"Oct 5, 2014",5,phi,ram,34,28,0.7133436769358822
64,"Oct 5, 2014",5,oti,cle,28,29,0.34440640475813056
65,"Oct 5, 2014",5,jax,pit,9,17,0.2687248366782212
66,"Oct 5, 2014",5,clt,rav,20,13,0.6025848148667842
67,"Oct 5, 2014",5,car,chi,31,24,0.6940825313633243
68,"Oct 5, 2014",5,nyg,atl,30,20,0.6111558048388539
69,"Oct 5, 2014",5,nor,tam,37,31,0.7584651746114641
70,"Oct 5, 2014",5,det,buf,14,17,0.5464304988032143
71,"Oct 5, 2014",5,dal,htx,20,17,0.6539507351709601
72,"Oct 5, 2014",5,den,crd,41,20,0.7226291626099757
73,"Oct 5, 2014",5,sfo,kan,22,17,0.4138340055126258
74,"Oct 5, 2014",5,sdg,nyj,31,0,0.7626175049103162
75,"Oct 5, 2014",5,nwe,cin,43,17,0.8524179735897632
76,"Oct 6, 2014",5,was,sea,17,27,0.13737654006799405
77,"Oct 9, 2014",6,htx,clt,28,33,0.44386925873504396
78,"Oct 12, 2014",6,buf,nwe,22,37,0.33245004706288184
79,"Oct 12, 2014",6,tam,rav,17,48,0.18117544069099822
80,"Oct 12, 2014",6,oti,jax,16,14,0.5284309133101233
81,"Oct 12, 2014",6,nyj,den,17,31,0.23899261633368168
82,"Oct 12, 2014",6,min,det,3,17,0.4456306136248662
83,"Oct 12, 2014",6,mia,gnb,24,27,0.4312806975062902
84,"Oct 12, 2014",6,cle,pit,31,10,0.4424023079849735
85,"Oct 12, 2014",6,cin,car,37,37,0.6219347129035857
86,"Oct 12, 2014",6,rai,sdg,28,31,0.30409570118593854
87,"Oct 12, 2014",6,atl,chi,13,27,0.608304588936431
88,"Oct 12, 2014",6,crd,was,30,20,0.818628737339627
89,"Oct 12, 2014",6,sea,dal,23,30,0.7077535883431434
90,"Oct 12, 2014",6,phi,nyg,27,0,0.7395424705137761
91,"Oct 13, 2014",6,ram,sfo,17,31,0.551431425765667
92,"Oct 16, 2014",7,nwe,nyj,27,25,0.9324298368848012
93,"Oct 19, 2014",7,chi,mia,14,27,0.377500515014879
94,"Oct 19, 2014",7,ram,sea,28,26,0.26627965593307285
95,"Oct 19, 2014",7,buf,min,17,16,0.7285724983651114
96,"Oct 19, 2014",7,was,oti,19,17,0.6737336146178958
97,"Oct 19, 2014",7,rav,atl,29,7,0.817057394449404
98,"Oct 19, 2014",7,jax,cle,24,6,0.39141002474486186
99,"Oct 19, 2014",7,gnb,car,38,17,0.7770590459663537
100,"Oct 19, 2014",7,det,nor,24,23,0.7186319020980173
101,"Oct 19, 2014",7,clt,cin,27,0,0.7327436245873284
102,"Oct 19, 2014",7,sdg,kan,20,23,0.4875529479875631
103,"Oct 19, 2014",7,rai,crd,13,24,0.30669970203859986
104,"Oct 19, 2014",7,dal,nyg,31,21,0.771702967226482
105,"Oct 19, 2014",7,den,sfo,42,17,0.7792694441618949
106,"Oct 20, 2014",7,pit,htx,30,23,0.5564241936098266
107,"Oct 23, 2014",8,den,sdg,35,21,0.7201341290278136
108,"Oct 26, 2014",8,atl,det,21,22,0.3848625626147944
109,"Oct 26, 2014",8,nyj,buf,23,43,0.318272181410066
110,"Oct 26, 2014",8,nwe,chi,51,23,0.929568996439982
111,"Oct 26, 2014",8,jax,mia,13,27,0.2527979528998417
112,"Oct 26, 2014",8,cin,rav,27,24,0.434494914561942
113,"Oct 26, 2014",8,tam,min,13,19,0.35985000073788453
114,"Oct 26, 2014",8,oti,htx,16,30,0.21309374211827947
115,"Oct 26, 2014",8,car,sea,9,13,0.28893704421756394
116,"Oct 26, 2014",8,kan,ram,34,7,0.7507512159234162
117,"Oct 26, 2014",8,crd,phi,24,20,0.5299089814084343
118,"Oct 26, 2014",8,pit,clt,51,34,0.4225383553289276
119,"Oct 26, 2014",8,cle,rai,23,13,0.7005664828135557
120,"Oct 26, 2014",8,nor,gnb,44,23,0.3098374204202911
121,"Oct 27, 2014",8,dal,was,17,20,0.8715584724905768
122,"Oct 30, 2014",9,car,nor,10,28,0.6264454956767579
123,"Nov 2, 2014",9,cle,tam,22,17,0.7371245747806403
124,"Nov 2, 2014",9,cin,jax,33,23,0.8353522822485783
125,"Nov 2, 2014",9,mia,sdg,37,0,0.5821089571670524
126,"Nov 2, 2014",9,min,was,29,26,0.7438656392994889
127,"Nov 2, 2014",9,kan,nyj,24,10,0.8269292433297466
128,"Nov 2, 2014",9,htx,phi,21,31,0.5393579982750221
129,"Nov 2, 2014",9,dal,crd,17,28,0.6626784453595904
130,"Nov 2, 2014",9,sfo,ram,10,13,0.6037305789617
131,"Nov 2, 2014",9,nwe,den,43,21,0.7218817956426345
132,"Nov 2, 2014",9,sea,rai,30,24,0.9294687109276281
