id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 10, 2009",1,pit,oti,13,10,0.6292560074239719
2,"Sep 13, 2009",1,rav,kan,38,24,0.8914155966363608
3,"Sep 13, 2009",1,clt,jax,14,12,0.8915539461294317
4,"Sep 13, 2009",1,cin,den,7,12,0.6100160273253795
5,"Sep 13, 2009",1,tam,dal,21,34,0.23715296496216337
6,"Sep 13, 2009",1,nor,det,45,27,0.9836025610800421
7,"Sep 13, 2009",1,htx,nyj,7,24,0.43391018284318406
8,"Sep 13, 2009",1,cle,min,20,34,0.1805887697536807
9,"Sep 13, 2009",1,car,phi,10,38,0.5602362009526898
10,"Sep 13, 2009",1,atl,mia,19,7,0.6675499529371183
11,"Sep 13, 2009",1,crd,sfo,16,20,0.6202388369956803
12,"Sep 13, 2009",1,nyg,was,23,17,0.7853913461076826
13,"Sep 13, 2009",1,sea,ram,28,0,0.7877691136761018
14,"Sep 13, 2009",1,gnb,chi,21,15,0.7860413591455179
15,"Sep 14, 2009",1,nwe,buf,25,24,0.7860413591455179
16,"Sep 14, 2009",1,rai,sdg,20,24,0.2183136784616
17,"Sep 20, 2009",2,kan,rai,10,13,0.5687193024937098
18,"Sep 20, 2009",2,atl,car,28,20,0.6278516029123491
19,"Sep 20, 2009",2,was,ram,9,7,0.8132915369160614
20,"Sep 20, 2009",2,nyj,nwe,16,9,0.6382027351961548
21,"Sep 20, 2009",2,gnb,cin,24,31,0.6742691051658665
22,"Sep 20, 2009",2,oti,htx,31,34,0.5068170172369667
23,"Sep 20, 2009",2,jax,crd,17,31,0.4347873342498893
24,"Sep 20, 2009",2,det,min,13,27,0.0841808759558057
25,"Sep 20, 2009",2,phi,nor,22,48,0.34331279094791645
26,"Sep 20, 2009",2,buf,tam,33,20,0.7258563592494204
27,"Sep 20, 2009",2,sfo,sea,23,10,0.8047982865595797
28,"Sep 20, 2009",2,chi,pit,17,14,0.44680544886639695
29,"Sep 20, 2009",2,sdg,rav,26,31,0.5988550128495369
30,"Sep 20, 2009",2,den,cle,27,6,0.7838701930469113
31,"Sep 20, 2009",2,dal,nyg,31,33,0.7261038347597145
32,"Sep 21, 2009",2,mia,clt,23,27,0.3422204875804156
33,"Sep 27, 2009",3,tam,nyg,0,24,0.3690609791055947
34,"Sep 27, 2009",3,ram,gnb,17,36,0.09791390333624095
35,"Sep 27, 2009",3,rav,cle,34,3,0.8809708300860191
36,"Sep 27, 2009",3,phi,kan,34,14,0.8645729635129684
37,"Sep 27, 2009",3,nwe,atl,26,10,0.632339618628219
38,"Sep 27, 2009",3,det,was,19,14,0.39827509004038475
39,"Sep 27, 2009",3,nyj,oti,24,17,0.790772981075351
40,"Sep 27, 2009",3,min,sfo,27,24,0.7858248155813544
41,"Sep 27, 2009",3,htx,jax,24,31,0.7540397144732813
42,"Sep 27, 2009",3,buf,nor,7,27,0.2060365285091056
43,"Sep 27, 2009",3,sea,chi,19,25,0.4435758063901733
44,"Sep 27, 2009",3,cin,pit,23,20,0.5821089571670526
45,"Sep 27, 2009",3,sdg,mia,23,13,0.711824144392815
46,"Sep 27, 2009",3,rai,den,3,23,0.3620757391098033
47,"Sep 27, 2009",3,crd,clt,10,31,0.3405845072439584
48,"Sep 28, 2009",3,dal,car,21,7,0.6651176721962253
49,"Oct 4, 2009",4,was,tam,16,13,0.5806578711571945
50,"Oct 4, 2009",4,kan,nyg,16,27,0.33786453935540983
51,"Oct 4, 2009",4,chi,det,48,24,0.8335038354911691
52,"Oct 4, 2009",4,nwe,rav,27,21,0.5959797719036296
53,"Oct 4, 2009",4,htx,rai,29,6,0.8308935946375957
54,"Oct 4, 2009",4,clt,sea,34,17,0.9424713136680493
55,"Oct 4, 2009",4,cle,cin,20,23,0.34276647495394863
56,"Oct 4, 2009",4,jax,oti,37,17,0.4822214998968611
57,"Oct 4, 2009",4,nor,nyj,24,10,0.7100465684676667
58,"Oct 4, 2009",4,mia,buf,38,10,0.6777409931586249
59,"Oct 4, 2009",4,sfo,ram,35,0,0.9247359240687313
60,"Oct 4, 2009",4,den,dal,17,10,0.42865425425248027
61,"Oct 4, 2009",4,pit,sdg,38,28,0.44709923104933647
62,"Oct 5, 2009",4,min,gnb,30,23,0.690162579579709
