id,date,week,home,away,homePts,awayPts
1,"Sep 7, 2006",1,pit,mia,28,17
2,"Sep 10, 2006",1,kan,cin,10,23
3,"Sep 10, 2006",1,tam,rav,0,27
4,"Sep 10, 2006",1,ram,den,18,10
5,"Sep 10, 2006",1,nwe,buf,19,17
6,"Sep 10, 2006",1,htx,phi,10,24
7,"Sep 10, 2006",1,car,atl,6,20
8,"Sep 10, 2006",1,oti,nyj,16,23
9,"Sep 10, 2006",1,cle,nor,14,19
10,"Sep 10, 2006",1,det,sea,6,9
11,"Sep 10, 2006",1,jax,dal,24,17
12,"Sep 10, 2006",1,gnb,chi,0,26
13,"Sep 10, 2006",1,crd,sfo,34,27
14,"Sep 10, 2006",1,nyg,clt,21,26
15,"Sep 11, 2006",1,was,min,16,19
16,"Sep 11, 2006",1,rai,sdg,0,27
17,"Sep 17, 2006",2,rav,rai,28,6
18,"Sep 17, 2006",2,phi,nyg,24,30
19,"Sep 17, 2006",2,gnb,nor,27,34
20,"Sep 17, 2006",2,cin,cle,34,17
21,"Sep 17, 2006",2,chi,det,34,7
22,"Sep 17, 2006",2,min,car,16,13
23,"Sep 17, 2006",2,mia,buf,6,16
24,"Sep 17, 2006",2,clt,htx,43,24
25,"Sep 17, 2006",2,atl,tam,14,3
26,"Sep 17, 2006",2,sfo,ram,20,13
27,"Sep 17, 2006",2,sea,crd,21,10
28,"Sep 17, 2006",2,sdg,oti,40,7
29,"Sep 17, 2006",2,nyj,nwe,17,24
30,"Sep 17, 2006",2,den,kan,9,6
31,"Sep 17, 2006",2,dal,was,27,10
32,"Sep 18, 2006",2,jax,pit,9,0
33,"Sep 24, 2006",3,clt,jax,21,14
34,"Sep 24, 2006",3,buf,nyj,20,28
35,"Sep 24, 2006",3,pit,cin,20,28
36,"Sep 24, 2006",3,mia,oti,13,10
37,"Sep 24, 2006",3,det,gnb,24,31
38,"Sep 24, 2006",3,tam,car,24,26
39,"Sep 24, 2006",3,htx,was,15,31
40,"Sep 24, 2006",3,min,chi,16,19
41,"Sep 24, 2006",3,cle,rav,14,15
42,"Sep 24, 2006",3,sfo,phi,24,38
43,"Sep 24, 2006",3,crd,ram,14,16
44,"Sep 24, 2006",3,sea,nyg,42,30
45,"Sep 24, 2006",3,nwe,den,7,17
46,"Sep 25, 2006",3,nor,atl,23,3
47,"Oct 1, 2006",4,kan,sfo,41,0
48,"Oct 1, 2006",4,car,nor,21,18
49,"Oct 1, 2006",4,buf,min,17,12
50,"Oct 1, 2006",4,rav,sdg,16,13
51,"Oct 1, 2006",4,nyj,clt,28,31
52,"Oct 1, 2006",4,htx,mia,17,15
53,"Oct 1, 2006",4,atl,crd,32,10
54,"Oct 1, 2006",4,oti,dal,14,45
55,"Oct 1, 2006",4,ram,det,41,34
56,"Oct 1, 2006",4,was,jax,36,30
57,"Oct 1, 2006",4,rai,cle,21,24
58,"Oct 1, 2006",4,cin,nwe,13,38
59,"Oct 1, 2006",4,chi,sea,37,6
60,"Oct 2, 2006",4,phi,gnb,31,9
61,"Oct 8, 2006",5,clt,oti,14,13
62,"Oct 8, 2006",5,car,cle,20,12
63,"Oct 8, 2006",5,nwe,mia,20,10
64,"Oct 8, 2006",5,gnb,ram,20,23
65,"Oct 8, 2006",5,chi,buf,40,7
66,"Oct 8, 2006",5,nyg,was,19,3
67,"Oct 8, 2006",5,nor,tam,24,21
68,"Oct 8, 2006",5,min,det,26,17
69,"Oct 8, 2006",5,sfo,rai,34,20
70,"Oct 8, 2006",5,jax,nyj,41,0
71,"Oct 8, 2006",5,crd,kan,20,23
72,"Oct 8, 2006",5,phi,dal,38,24
73,"Oct 8, 2006",5,sdg,pit,23,13
74,"Oct 9, 2006",5,den,rav,13,3
75,"Oct 15, 2006",6,dal,htx,34,6
76,"Oct 15, 2006",6,was,oti,22,25
77,"Oct 15, 2006",6,tam,cin,14,13
78,"Oct 15, 2006",6,rav,car,21,23
79,"Oct 15, 2006",6,ram,sea,28,30
80,"Oct 15, 2006",6,nor,phi,27,24
81,"Oct 15, 2006",6,det,buf,20,17
82,"Oct 15, 2006",6,atl,nyg,14,27
83,"Oct 15, 2006",6,sfo,sdg,19,48
84,"Oct 15, 2006",6,pit,kan,45,7
85,"Oct 15, 2006",6,nyj,mia,20,17
86,"Oct 15, 2006",6,den,rai,13,3
87,"Oct 16, 2006",6,crd,chi,23,24
88,"Oct 22, 2006",7,kan,sdg,30,27
89,"Oct 22, 2006",7,buf,nwe,6,28
90,"Oct 22, 2006",7,tam,phi,23,21
91,"Oct 22, 2006",7,mia,gnb,24,34
92,"Oct 22, 2006",7,cin,car,17,14
93,"Oct 22, 2006",7,nyj,det,31,24
94,"Oct 22, 2006",7,htx,jax,27,7
95,"Oct 22, 2006",7,atl,pit,41,38
96,"Oct 22, 2006",7,cle,den,7,17
97,"Oct 22, 2006",7,rai,crd,22,9
98,"Oct 22, 2006",7,clt,was,36,22
99,"Oct 22, 2006",7,sea,min,13,31
100,"Oct 23, 2006",7,dal,nyg,22,36
101,"Oct 29, 2006",8,kan,sea,35,28
102,"Oct 29, 2006",8,cin,atl,27,29
103,"Oct 29, 2006",8,oti,htx,28,22
104,"Oct 29, 2006",8,gnb,crd,31,14
105,"Oct 29, 2006",8,chi,sfo,41,10
106,"Oct 29, 2006",8,nyg,tam,17,3
107,"Oct 29, 2006",8,nor,rav,22,35
108,"Oct 29, 2006",8,phi,jax,6,13
109,"Oct 29, 2006",8,sdg,ram,38,24
110,"Oct 29, 2006",8,rai,pit,20,13
111,"Oct 29, 2006",8,den,clt,31,34
112,"Oct 29, 2006",8,cle,nyj,20,13
113,"Oct 29, 2006",8,car,dal,14,35
114,"Oct 30, 2006",8,min,nwe,7,31
115,"Nov 5, 2006",9,chi,mia,13,31
116,"Nov 5, 2006",9,buf,gnb,24,10
117,"Nov 5, 2006",9,was,dal,22,19
118,"Nov 5, 2006",9,tam,nor,14,31
119,"Nov 5, 2006",9,rav,cin,26,20
120,"Nov 5, 2006",9,ram,kan,17,31
121,"Nov 5, 2006",9,nyg,htx,14,10
122,"Nov 5, 2006",9,det,atl,30,14
123,"Nov 5, 2006",9,jax,oti,37,7
124,"Nov 5, 2006",9,sfo,min,9,3
125,"Nov 5, 2006",9,sdg,cle,32,25
126,"Nov 5, 2006",9,pit,den,20,31
127,"Nov 5, 2006",9,nwe,clt,20,27
128,"Nov 6, 2006",9,sea,rai,16,0
129,"Nov 12, 2006",10,clt,buf,17,16
130,"Nov 12, 2006",10,phi,was,27,3
131,"Nov 12, 2006",10,nwe,nyj,14,17
132,"Nov 12, 2006",10,cin,sdg,41,49
133,"Nov 12, 2006",10,oti,rav,26,27
134,"Nov 12, 2006",10,mia,kan,13,10
135,"Nov 12, 2006",10,jax,htx,10,13
136,"Nov 12, 2006",10,det,sfo,13,19
137,"Nov 12, 2006",10,atl,cle,13,17
138,"Nov 12, 2006",10,min,gnb,17,23
139,"Nov 12, 2006",10,rai,den,13,17
140,"Nov 12, 2006",10,pit,nor,38,31
141,"Nov 12, 2006",10,crd,dal,10,27
142,"Nov 12, 2006",10,sea,ram,24,22
143,"Nov 12, 2006",10,nyg,chi,20,38
144,"Nov 13, 2006",10,car,tam,24,10
145,"Nov 19, 2006",11,kan,rai,17,13
146,"Nov 19, 2006",11,phi,oti,13,31
147,"Nov 19, 2006",11,car,ram,15,0
148,"Nov 19, 2006",11,rav,atl,24,10
149,"Nov 19, 2006",11,nor,cin,16,31
150,"Nov 19, 2006",11,gnb,nwe,0,35
151,"Nov 19, 2006",11,cle,pit,20,24
152,"Nov 19, 2006",11,tam,was,20,17
153,"Nov 19, 2006",11,mia,min,24,20
154,"Nov 19, 2006",11,htx,buf,21,24
155,"Nov 19, 2006",11,nyj,chi,0,10
156,"Nov 19, 2006",11,crd,det,17,10
157,"Nov 19, 2006",11,sfo,sea,20,14
158,"Nov 19, 2006",11,dal,clt,21,14
159,"Nov 19, 2006",11,den,sdg,27,35
160,"Nov 20, 2006",11,jax,nyg,26,10
161,"Nov 23, 2006",12,det,mia,10,27
162,"Nov 23, 2006",12,dal,tam,38,10
163,"Nov 23, 2006",12,kan,den,19,10
164,"Nov 26, 2006",12,rav,pit,27,0
165,"Nov 26, 2006",12,ram,sfo,20,17
166,"Nov 26, 2006",12,nyj,htx,26,11
167,"Nov 26, 2006",12,buf,jax,27,24
168,"Nov 26, 2006",12,was,car,17,13
169,"Nov 26, 2006",12,cle,cin,0,30
170,"Nov 26, 2006",12,min,crd,31,26
171,"Nov 26, 2006",12,atl,nor,13,31
172,"Nov 26, 2006",12,sdg,rai,21,14
173,"Nov 26, 2006",12,oti,nyg,24,21
174,"Nov 26, 2006",12,nwe,chi,17,13
175,"Nov 26, 2006",12,clt,phi,45,21
176,"Nov 27, 2006",12,sea,gnb,34,24
177,"Nov 30, 2006",13,cin,rav,13,7
178,"Dec 3, 2006",13,buf,sdg,21,24
179,"Dec 3, 2006",13,ram,crd,20,34
180,"Dec 3, 2006",13,nwe,det,28,21
181,"Dec 3, 2006",13,gnb,nyj,10,38
182,"Dec 3, 2006",13,chi,min,23,13
183,"Dec 3, 2006",13,was,atl,14,24
184,"Dec 3, 2006",13,oti,clt,20,17
185,"Dec 3, 2006",13,cle,kan,31,28
186,"Dec 3, 2006",13,nor,sfo,34,10
187,"Dec 3, 2006",13,rai,htx,14,23
188,"Dec 3, 2006",13,mia,jax,10,24
189,"Dec 3, 2006",13,pit,tam,20,3
190,"Dec 3, 2006",13,nyg,dal,20,23
191,"Dec 3, 2006",13,den,sea,20,23
192,"Dec 4, 2006",13,phi,car,27,24
193,"Dec 7, 2006",14,pit,cle,27,7
194,"Dec 10, 2006",14,kan,rav,10,20
195,"Dec 10, 2006",14,car,nyg,13,27
196,"Dec 10, 2006",14,tam,atl,6,17
197,"Dec 10, 2006",14,mia,nwe,21,0
198,"Dec 10, 2006",14,htx,oti,20,26
199,"Dec 10, 2006",14,cin,rai,27,10
200,"Dec 10, 2006",14,was,phi,19,21
201,"Dec 10, 2006",14,jax,clt,44,17
202,"Dec 10, 2006",14,det,min,20,30
203,"Dec 10, 2006",14,crd,sea,27,21
204,"Dec 10, 2006",14,sfo,gnb,19,30
205,"Dec 10, 2006",14,sdg,den,48,20
206,"Dec 10, 2006",14,nyj,buf,13,31
207,"Dec 10, 2006",14,dal,nor,17,42
208,"Dec 11, 2006",14,ram,chi,27,42
209,"Dec 14, 2006",15,sea,sfo,14,24
210,"Dec 16, 2006",15,atl,dal,28,38
211,"Dec 17, 2006",15,buf,mia,21,0
212,"Dec 17, 2006",15,rav,cle,27,17
213,"Dec 17, 2006",15,nwe,htx,40,7
214,"Dec 17, 2006",15,gnb,det,17,9
215,"Dec 17, 2006",15,car,pit,3,37
216,"Dec 17, 2006",15,oti,jax,24,17
217,"Dec 17, 2006",15,nor,was,10,16
218,"Dec 17, 2006",15,min,nyj,13,26
219,"Dec 17, 2006",15,chi,tam,34,31
220,"Dec 17, 2006",15,crd,den,20,37
221,"Dec 17, 2006",15,rai,ram,0,20
222,"Dec 17, 2006",15,nyg,phi,22,36
223,"Dec 17, 2006",15,sdg,kan,20,9
224,"Dec 18, 2006",15,clt,cin,34,16
225,"Dec 21, 2006",16,gnb,min,9,7
226,"Dec 23, 2006",16,rai,kan,9,20
227,"Dec 24, 2006",16,ram,was,37,31
228,"Dec 24, 2006",16,pit,rav,7,31
229,"Dec 24, 2006",16,buf,oti,29,30
230,"Dec 24, 2006",16,atl,car,3,10
231,"Dec 24, 2006",16,jax,nwe,21,24
232,"Dec 24, 2006",16,htx,clt,27,24
