id,date,week,home,away,homePts,awayPts
1,"Sep 5, 2002",1,nyg,sfo,13,16
2,"Sep 8, 2002",1,car,rav,10,7
3,"Sep 8, 2002",1,buf,nyj,31,37
4,"Sep 8, 2002",1,mia,det,49,21
5,"Sep 8, 2002",1,jax,clt,25,28
6,"Sep 8, 2002",1,gnb,atl,37,34
7,"Sep 8, 2002",1,cle,kan,39,40
8,"Sep 8, 2002",1,cin,sdg,6,34
9,"Sep 8, 2002",1,chi,min,27,23
10,"Sep 8, 2002",1,was,crd,31,23
11,"Sep 8, 2002",1,oti,phi,27,24
12,"Sep 8, 2002",1,tam,nor,20,26
13,"Sep 8, 2002",1,rai,sea,31,17
14,"Sep 8, 2002",1,den,ram,23,16
15,"Sep 8, 2002",1,htx,dal,19,10
16,"Sep 9, 2002",1,nwe,pit,30,14
17,"Sep 15, 2002",2,kan,jax,16,23
18,"Sep 15, 2002",2,clt,mia,13,21
19,"Sep 15, 2002",2,rav,tam,0,25
20,"Sep 15, 2002",2,dal,oti,21,13
21,"Sep 15, 2002",2,cle,cin,20,7
22,"Sep 15, 2002",2,nyj,nwe,7,44
23,"Sep 15, 2002",2,car,det,31,7
24,"Sep 15, 2002",2,atl,chi,13,14
25,"Sep 15, 2002",2,nor,gnb,35,20
26,"Sep 15, 2002",2,ram,nyg,21,26
27,"Sep 15, 2002",2,sfo,den,14,24
28,"Sep 15, 2002",2,sea,crd,13,24
29,"Sep 15, 2002",2,sdg,htx,24,3
30,"Sep 15, 2002",2,min,buf,39,45
31,"Sep 15, 2002",2,pit,rai,17,30
32,"Sep 16, 2002",2,was,phi,7,37
33,"Sep 22, 2002",3,min,car,14,21
34,"Sep 22, 2002",3,htx,clt,3,23
35,"Sep 22, 2002",3,phi,dal,44,13
36,"Sep 22, 2002",3,nwe,kan,41,38
37,"Sep 22, 2002",3,mia,nyj,30,3
38,"Sep 22, 2002",3,oti,cle,28,31
39,"Sep 22, 2002",3,chi,nor,23,29
40,"Sep 22, 2002",3,crd,sdg,15,23
41,"Sep 22, 2002",3,den,buf,28,23
42,"Sep 22, 2002",3,nyg,sea,9,6
43,"Sep 22, 2002",3,sfo,was,20,10
44,"Sep 22, 2002",3,det,gnb,31,37
45,"Sep 22, 2002",3,atl,cin,30,3
46,"Sep 23, 2002",3,tam,ram,26,14
47,"Sep 29, 2002",4,kan,mia,48,30
48,"Sep 29, 2002",4,pit,cle,16,13
49,"Sep 29, 2002",4,ram,dal,10,13
50,"Sep 29, 2002",4,phi,htx,35,17
51,"Sep 29, 2002",4,jax,nyj,28,3
52,"Sep 29, 2002",4,gnb,car,17,14
53,"Sep 29, 2002",4,det,nor,26,21
54,"Sep 29, 2002",4,buf,chi,33,27
55,"Sep 29, 2002",4,crd,nyg,21,7
56,"Sep 29, 2002",4,cin,tam,7,35
57,"Sep 29, 2002",4,sdg,nwe,21,14
58,"Sep 29, 2002",4,rai,oti,52,25
59,"Sep 29, 2002",4,sea,min,48,23
60,"Sep 30, 2002",4,rav,den,34,23
61,"Oct 6, 2002",5,clt,cin,28,21
62,"Oct 6, 2002",5,car,crd,13,16
63,"Oct 6, 2002",5,buf,rai,31,49
64,"Oct 6, 2002",5,nor,pit,32,29
65,"Oct 6, 2002",5,mia,nwe,26,13
66,"Oct 6, 2002",5,atl,tam,6,20
67,"Oct 6, 2002",5,oti,was,14,31
68,"Oct 6, 2002",5,dal,nyg,17,21
69,"Oct 6, 2002",5,den,sdg,26,9
70,"Oct 6, 2002",5,nyj,kan,25,29
71,"Oct 6, 2002",5,jax,phi,28,25
72,"Oct 6, 2002",5,sfo,ram,37,13
73,"Oct 6, 2002",5,cle,rav,21,26
74,"Oct 7, 2002",5,chi,gnb,21,34
75,"Oct 13, 2002",6,clt,rav,22,20
76,"Oct 13, 2002",6,min,det,31,24
77,"Oct 13, 2002",6,was,nor,27,43
78,"Oct 13, 2002",6,tam,cle,17,3
79,"Oct 13, 2002",6,cin,pit,7,34
80,"Oct 13, 2002",6,nwe,gnb,10,28
81,"Oct 13, 2002",6,htx,buf,24,31
82,"Oct 13, 2002",6,dal,car,14,13
83,"Oct 13, 2002",6,nyg,atl,10,17
84,"Oct 13, 2002",6,oti,jax,23,14
85,"Oct 13, 2002",6,sdg,kan,35,34
86,"Oct 13, 2002",6,ram,rai,28,13
87,"Oct 13, 2002",6,den,mia,22,24
88,"Oct 14, 2002",6,sea,sfo,21,28
89,"Oct 20, 2002",7,kan,den,34,37
90,"Oct 20, 2002",7,rav,jax,17,10
91,"Oct 20, 2002",7,ram,sea,37,20
92,"Oct 20, 2002",7,nyj,min,20,7
93,"Oct 20, 2002",7,nor,sfo,35,27
94,"Oct 20, 2002",7,mia,buf,10,23
95,"Oct 20, 2002",7,det,chi,23,20
96,"Oct 20, 2002",7,atl,car,30,0
97,"Oct 20, 2002",7,cle,htx,34,17
98,"Oct 20, 2002",7,rai,sdg,21,27
99,"Oct 20, 2002",7,crd,dal,9,6
100,"Oct 20, 2002",7,phi,tam,20,10
101,"Oct 20, 2002",7,gnb,was,30,9
102,"Oct 21, 2002",7,pit,clt,28,10
103,"Oct 27, 2002",8,min,chi,25,7
104,"Oct 27, 2002",8,kan,rai,20,10
105,"Oct 27, 2002",8,cin,oti,24,30
106,"Oct 27, 2002",8,car,tam,9,12
107,"Oct 27, 2002",8,buf,det,24,17
108,"Oct 27, 2002",8,rav,pit,18,31
109,"Oct 27, 2002",8,nyj,cle,21,24
110,"Oct 27, 2002",8,nor,atl,35,37
111,"Oct 27, 2002",8,dal,sea,14,17
112,"Oct 27, 2002",8,sfo,crd,38,28
113,"Oct 27, 2002",8,nwe,den,16,24
114,"Oct 27, 2002",8,jax,htx,19,21
115,"Oct 27, 2002",8,was,clt,26,21
116,"Oct 28, 2002",8,phi,nyg,17,3
117,"Nov 3, 2002",9,clt,oti,15,23
118,"Nov 3, 2002",9,tam,min,38,24
119,"Nov 3, 2002",9,htx,cin,3,38
120,"Nov 3, 2002",9,buf,nwe,7,38
121,"Nov 3, 2002",9,cle,pit,20,23
122,"Nov 3, 2002",9,det,dal,9,7
123,"Nov 3, 2002",9,chi,phi,13,19
124,"Nov 3, 2002",9,atl,rav,20,17
125,"Nov 3, 2002",9,sdg,nyj,13,44
126,"Nov 3, 2002",9,sea,was,3,14
127,"Nov 3, 2002",9,rai,sfo,20,23
128,"Nov 3, 2002",9,crd,ram,14,27
129,"Nov 3, 2002",9,nyg,jax,24,17
130,"Nov 4, 2002",9,gnb,mia,24,10
131,"Nov 10, 2002",10,min,nyg,20,27
132,"Nov 10, 2002",10,pit,atl,34,34
