id,date,week,home,away,homePts,awayPts
1,"Sep 4, 2003",1,was,nyj,16,13
2,"Sep 7, 2003",1,kan,sdg,27,14
3,"Sep 7, 2003",1,car,jax,24,23
4,"Sep 7, 2003",1,buf,nwe,31,0
5,"Sep 7, 2003",1,pit,rav,34,15
6,"Sep 7, 2003",1,gnb,min,25,30
7,"Sep 7, 2003",1,nyg,ram,23,13
8,"Sep 7, 2003",1,mia,htx,20,21
9,"Sep 7, 2003",1,det,crd,42,24
10,"Sep 7, 2003",1,cle,clt,6,9
11,"Sep 7, 2003",1,cin,den,10,30
12,"Sep 7, 2003",1,sea,nor,27,10
13,"Sep 7, 2003",1,sfo,chi,49,7
14,"Sep 7, 2003",1,dal,atl,13,27
15,"Sep 7, 2003",1,oti,rai,25,20
16,"Sep 8, 2003",1,phi,tam,0,17
17,"Sep 14, 2003",2,clt,oti,33,7
18,"Sep 14, 2003",2,kan,pit,41,20
19,"Sep 14, 2003",2,rav,cle,33,13
20,"Sep 14, 2003",2,ram,sfo,27,24
21,"Sep 14, 2003",2,nyj,mia,10,21
22,"Sep 14, 2003",2,nor,htx,31,10
23,"Sep 14, 2003",2,gnb,det,31,6
24,"Sep 14, 2003",2,atl,was,31,33
25,"Sep 14, 2003",2,jax,buf,17,38
26,"Sep 14, 2003",2,tam,car,9,12
27,"Sep 14, 2003",2,crd,sea,0,38
28,"Sep 14, 2003",2,sdg,den,13,37
29,"Sep 14, 2003",2,rai,cin,23,20
30,"Sep 14, 2003",2,phi,nwe,10,31
31,"Sep 14, 2003",2,min,chi,24,13
32,"Sep 15, 2003",2,nyg,dal,32,35
33,"Sep 21, 2003",3,clt,jax,23,13
34,"Sep 21, 2003",3,cin,pit,10,17
35,"Sep 21, 2003",3,nwe,nyj,23,16
36,"Sep 21, 2003",3,htx,kan,14,42
37,"Sep 21, 2003",3,atl,tam,10,31
38,"Sep 21, 2003",3,oti,nor,27,12
39,"Sep 21, 2003",3,det,min,13,23
40,"Sep 21, 2003",3,was,nyg,21,24
41,"Sep 21, 2003",3,sea,ram,24,23
42,"Sep 21, 2003",3,crd,gnb,20,13
43,"Sep 21, 2003",3,sfo,cle,12,13
44,"Sep 21, 2003",3,sdg,rav,10,24
45,"Sep 21, 2003",3,mia,buf,17,7
46,"Sep 22, 2003",3,den,rai,31,10
47,"Sep 28, 2003",4,pit,oti,13,30
48,"Sep 28, 2003",4,buf,phi,13,23
49,"Sep 28, 2003",4,ram,crd,37,13
50,"Sep 28, 2003",4,cle,cin,14,21
51,"Sep 28, 2003",4,was,nwe,20,17
52,"Sep 28, 2003",4,min,sfo,35,7
53,"Sep 28, 2003",4,htx,jax,24,20
54,"Sep 28, 2003",4,rav,kan,10,17
55,"Sep 28, 2003",4,rai,sdg,34,31
56,"Sep 28, 2003",4,car,atl,23,3
57,"Sep 28, 2003",4,nyj,dal,6,17
58,"Sep 28, 2003",4,den,det,20,16
59,"Sep 28, 2003",4,nor,clt,21,55
60,"Sep 29, 2003",4,chi,gnb,23,38
61,"Oct 5, 2003",5,kan,den,24,23
62,"Oct 5, 2003",5,car,nor,19,13
63,"Oct 5, 2003",5,buf,cin,22,16
64,"Oct 5, 2003",5,nwe,oti,38,30
65,"Oct 5, 2003",5,gnb,sea,35,13
66,"Oct 5, 2003",5,dal,crd,24,7
67,"Oct 5, 2003",5,chi,rai,24,21
68,"Oct 5, 2003",5,nyg,mia,10,23
69,"Oct 5, 2003",5,atl,min,26,39
70,"Oct 5, 2003",5,jax,sdg,27,21
71,"Oct 5, 2003",5,sfo,det,24,17
72,"Oct 5, 2003",5,phi,was,27,25
73,"Oct 5, 2003",5,pit,cle,13,33
74,"Oct 6, 2003",5,tam,clt,35,38
75,"Oct 12, 2003",6,clt,car,20,23
76,"Oct 12, 2003",6,jax,mia,10,24
77,"Oct 12, 2003",6,nwe,nyg,17,6
78,"Oct 12, 2003",6,gnb,kan,34,40
79,"Oct 12, 2003",6,cle,rai,13,7
80,"Oct 12, 2003",6,was,tam,13,35
81,"Oct 12, 2003",6,oti,htx,38,17
82,"Oct 12, 2003",6,nor,chi,20,13
83,"Oct 12, 2003",6,dal,phi,23,21
84,"Oct 12, 2003",6,nyj,buf,30,3
85,"Oct 12, 2003",6,den,pit,17,14
86,"Oct 12, 2003",6,crd,rav,18,26
87,"Oct 12, 2003",6,sea,sfo,20,19
88,"Oct 13, 2003",6,ram,atl,36,0
89,"Oct 19, 2003",7,min,den,28,20
90,"Oct 19, 2003",7,car,oti,17,37
91,"Oct 19, 2003",7,ram,gnb,34,24
92,"Oct 19, 2003",7,cle,sdg,20,26
93,"Oct 19, 2003",7,cin,rav,34,26
94,"Oct 19, 2003",7,atl,nor,17,45
95,"Oct 19, 2003",7,nyg,phi,10,14
96,"Oct 19, 2003",7,mia,nwe,13,19
97,"Oct 19, 2003",7,det,dal,7,38
98,"Oct 19, 2003",7,htx,nyj,14,19
99,"Oct 19, 2003",7,buf,was,24,7
100,"Oct 19, 2003",7,sfo,tam,24,7
101,"Oct 19, 2003",7,sea,chi,24,17
102,"Oct 20, 2003",7,rai,kan,10,17
103,"Oct 26, 2003",8,min,nyg,17,29
104,"Oct 26, 2003",8,tam,dal,16,0
105,"Oct 26, 2003",8,jax,oti,17,30
106,"Oct 26, 2003",8,cin,sea,27,24
107,"Oct 26, 2003",8,rav,den,26,6
108,"Oct 26, 2003",8,pit,ram,21,33
109,"Oct 26, 2003",8,nwe,cle,9,3
110,"Oct 26, 2003",8,chi,det,24,16
111,"Oct 26, 2003",8,nor,car,20,23
112,"Oct 26, 2003",8,crd,sfo,16,13
