id,date,week,home,away,homePts,awayPts
1,"Sep 6, 2007",1,clt,nor,41,10
2,"Sep 9, 2007",1,ram,car,13,27
3,"Sep 9, 2007",1,min,atl,24,3
4,"Sep 9, 2007",1,buf,den,14,15
5,"Sep 9, 2007",1,was,mia,16,13
6,"Sep 9, 2007",1,gnb,phi,16,13
7,"Sep 9, 2007",1,cle,pit,7,34
8,"Sep 9, 2007",1,nyj,nwe,14,38
9,"Sep 9, 2007",1,jax,oti,10,13
10,"Sep 9, 2007",1,htx,kan,20,3
11,"Sep 9, 2007",1,sea,tam,20,6
12,"Sep 9, 2007",1,sdg,chi,14,3
13,"Sep 9, 2007",1,rai,det,21,36
14,"Sep 9, 2007",1,dal,nyg,45,35
15,"Sep 10, 2007",1,cin,rav,27,20
16,"Sep 10, 2007",1,sfo,crd,20,17
17,"Sep 16, 2007",2,car,htx,21,34
18,"Sep 16, 2007",2,ram,sfo,16,17
19,"Sep 16, 2007",2,pit,buf,26,3
20,"Sep 16, 2007",2,oti,clt,20,22
21,"Sep 16, 2007",2,cle,cin,51,45
22,"Sep 16, 2007",2,tam,nor,31,14
23,"Sep 16, 2007",2,nyg,gnb,13,35
24,"Sep 16, 2007",2,jax,atl,13,7
25,"Sep 16, 2007",2,mia,dal,20,37
26,"Sep 16, 2007",2,det,min,20,17
27,"Sep 16, 2007",2,crd,sea,23,20
28,"Sep 16, 2007",2,chi,kan,20,10
29,"Sep 16, 2007",2,rav,nyj,20,13
30,"Sep 16, 2007",2,den,rai,23,20
31,"Sep 16, 2007",2,nwe,sdg,38,14
32,"Sep 17, 2007",2,phi,was,12,20
33,"Sep 23, 2007",3,rav,crd,26,23
34,"Sep 23, 2007",3,kan,min,13,10
35,"Sep 23, 2007",3,tam,ram,24,3
36,"Sep 23, 2007",3,pit,sfo,37,16
37,"Sep 23, 2007",3,phi,det,56,21
38,"Sep 23, 2007",3,nyj,mia,31,28
39,"Sep 23, 2007",3,nwe,buf,38,7
40,"Sep 23, 2007",3,gnb,sdg,31,24
41,"Sep 23, 2007",3,htx,clt,24,30
42,"Sep 23, 2007",3,den,jax,14,23
43,"Sep 23, 2007",3,sea,cin,24,21
44,"Sep 23, 2007",3,rai,cle,26,24
45,"Sep 23, 2007",3,atl,car,20,27
46,"Sep 23, 2007",3,was,nyg,17,24
47,"Sep 23, 2007",3,chi,dal,10,34
48,"Sep 24, 2007",3,nor,oti,14,31
49,"Sep 30, 2007",4,buf,nyj,17,14
50,"Sep 30, 2007",4,atl,htx,26,16
51,"Sep 30, 2007",4,dal,ram,35,7
52,"Sep 30, 2007",4,cle,rav,27,13
53,"Sep 30, 2007",4,det,chi,37,27
54,"Sep 30, 2007",4,min,gnb,16,23
55,"Sep 30, 2007",4,mia,rai,17,35
56,"Sep 30, 2007",4,sfo,sea,3,23
57,"Sep 30, 2007",4,car,tam,7,20
58,"Sep 30, 2007",4,sdg,kan,16,30
59,"Sep 30, 2007",4,crd,pit,21,14
60,"Sep 30, 2007",4,clt,den,38,20
61,"Sep 30, 2007",4,nyg,phi,16,3
62,"Oct 1, 2007",4,cin,nwe,13,34
63,"Oct 7, 2007",5,kan,jax,7,17
64,"Oct 7, 2007",5,was,det,34,3
65,"Oct 7, 2007",5,ram,crd,31,34
66,"Oct 7, 2007",5,pit,sea,21,0
67,"Oct 7, 2007",5,nyg,nyj,35,24
68,"Oct 7, 2007",5,nwe,cle,34,17
69,"Oct 7, 2007",5,htx,mia,22,19
70,"Oct 7, 2007",5,nor,car,13,16
71,"Oct 7, 2007",5,oti,atl,20,13
72,"Oct 7, 2007",5,clt,tam,33,14
73,"Oct 7, 2007",5,den,sdg,3,41
