id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 4, 2008",1,nyg,was,16,7,0.7614680266742407
2,"Sep 7, 2008",1,buf,sea,34,10,0.6506563342737511
3,"Sep 7, 2008",1,pit,htx,38,17,0.839914988154307
4,"Sep 7, 2008",1,phi,ram,38,3,0.9464674543473535
5,"Sep 7, 2008",1,nwe,kan,17,10,0.899493425505761
6,"Sep 7, 2008",1,nor,tam,24,20,0.5690112818327935
7,"Sep 7, 2008",1,mia,nyj,14,20,0.6017249099596154
8,"Sep 7, 2008",1,atl,det,34,21,0.9101734366287537
9,"Sep 7, 2008",1,oti,jax,17,10,0.8482668978664695
10,"Sep 7, 2008",1,rav,cin,17,10,0.900666259840655
11,"Sep 7, 2008",1,sdg,car,24,26,0.5378829166946106
12,"Sep 7, 2008",1,sfo,crd,13,23,0.35099515112148705
13,"Sep 7, 2008",1,cle,dal,10,28,0.35929430447892424
14,"Sep 7, 2008",1,clt,chi,13,29,0.7085188519121839
15,"Sep 8, 2008",1,gnb,min,24,19,0.4851830841335202
16,"Sep 8, 2008",1,rai,den,14,41,0.4905158861863701
17,"Sep 14, 2008",2,ram,nyg,13,41,0.11858642150766141
18,"Sep 14, 2008",2,kan,rai,8,23,0.4656593672655312
19,"Sep 14, 2008",2,cin,oti,7,24,0.23715296496216337
20,"Sep 14, 2008",2,car,chi,20,17,0.6432026320764846
21,"Sep 14, 2008",2,was,nor,29,24,0.5473135735470616
22,"Sep 14, 2008",2,jax,buf,16,20,0.5821089571670524
23,"Sep 14, 2008",2,det,gnb,25,48,0.23853197332575926
24,"Sep 14, 2008",2,min,clt,15,18,0.4632975248219739
25,"Sep 14, 2008",2,tam,atl,24,9,0.5281352520375819
26,"Sep 14, 2008",2,sea,sfo,30,33,0.4739348019256956
27,"Sep 14, 2008",2,nyj,nwe,10,19,0.448274648492654
28,"Sep 14, 2008",2,den,sdg,39,38,0.39312321417234464
29,"Sep 14, 2008",2,crd,mia,31,10,0.6731977656810381
30,"Sep 14, 2008",2,cle,pit,6,10,0.157745393517286
31,"Sep 15, 2008",2,dal,phi,41,37,0.4263222838645574
32,"Sep 21, 2008",3,chi,tam,24,27,0.5812384383750105
33,"Sep 21, 2008",3,buf,rai,24,23,0.6487293264462046
34,"Sep 21, 2008",3,atl,kan,38,14,0.8767821774200162
35,"Sep 21, 2008",3,was,crd,24,17,0.44298899467540265
36,"Sep 21, 2008",3,oti,htx,31,12,0.7626175049103161
37,"Sep 21, 2008",3,nyg,cin,26,23,0.8542948861519606
38,"Sep 21, 2008",3,nwe,mia,13,38,0.6702442326285896
39,"Sep 21, 2008",3,min,car,20,10,0.5358169313414964
40,"Sep 21, 2008",3,sfo,det,31,13,0.8152795124920799
41,"Sep 21, 2008",3,sea,ram,37,13,0.7072428939558206
42,"Sep 21, 2008",3,den,nor,34,32,0.4377134673856624
43,"Sep 21, 2008",3,phi,pit,15,6,0.46861336247657154
44,"Sep 21, 2008",3,clt,jax,21,23,0.8236770063187505
45,"Sep 21, 2008",3,rav,cle,28,10,0.9022144314031763
46,"Sep 21, 2008",3,gnb,dal,16,27,0.47837293098376826
47,"Sep 22, 2008",3,sdg,nyj,48,29,0.6440335888792845
48,"Sep 28, 2008",4,kan,den,33,19,0.3823093093439708
49,"Sep 28, 2008",4,cin,cle,12,20,0.5786245107058213
50,"Sep 28, 2008",4,tam,gnb,30,21,0.6264454956767578
51,"Sep 28, 2008",4,nyj,crd,56,35,0.4450433743264246
52,"Sep 28, 2008",4,jax,htx,30,27,0.4503327159983148
53,"Sep 28, 2008",4,oti,min,30,17,0.715867754094326
54,"Sep 28, 2008",4,nor,sfo,31,17,0.691210041115258
55,"Sep 28, 2008",4,car,atl,24,9,0.6040168804707129
56,"Sep 28, 2008",4,ram,buf,14,31,0.35790636760881483
57,"Sep 28, 2008",4,rai,sdg,18,28,0.31404265783236074
58,"Sep 28, 2008",4,dal,was,24,26,0.6503812836885381
59,"Sep 28, 2008",4,chi,phi,24,20,0.389413965002877
60,"Sep 29, 2008",4,pit,rav,23,20,0.6094457829834964
61,"Oct 5, 2008",5,rav,oti,10,13,0.6481780471494965
62,"Oct 5, 2008",5,htx,clt,27,31,0.40661239074749506
63,"Oct 5, 2008",5,gnb,atl,24,27,0.4751180095761778
64,"Oct 5, 2008",5,det,chi,7,34,0.19499680353396603
65,"Oct 5, 2008",5,nyg,sea,44,6,0.8859205905949203
66,"Oct 5, 2008",5,mia,sdg,17,10,0.5310911402323892
