id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 8, 2016",1,den,car,21,20,0.7193835019233651
2,"Sep 11, 2016",1,rav,buf,13,7,0.6264454956767578
3,"Sep 11, 2016",1,jax,gnb,23,27,0.3278750035806146
4,"Sep 11, 2016",1,atl,tam,24,31,0.7912000525266443
5,"Sep 11, 2016",1,phi,cle,29,10,0.8849137000713129
6,"Sep 11, 2016",1,oti,min,16,25,0.5437799141115905
7,"Sep 11, 2016",1,nyj,cin,22,23,0.34659753127986265
8,"Sep 11, 2016",1,nor,rai,34,35,0.534931210039088
9,"Sep 11, 2016",1,kan,sdg,33,27,0.7516931661997874
10,"Sep 11, 2016",1,htx,chi,23,14,0.7390598092220798
11,"Sep 11, 2016",1,sea,mia,12,10,0.7171257942110163
12,"Sep 11, 2016",1,clt,det,35,39,0.6418161945531604
13,"Sep 11, 2016",1,dal,nyg,19,20,0.7203841214759196
14,"Sep 11, 2016",1,crd,nwe,21,23,0.34413287889390215
15,"Sep 12, 2016",1,was,pit,16,38,0.4828137435050981
16,"Sep 12, 2016",1,sfo,ram,28,0,0.5751338959885537
17,"Sep 15, 2016",2,buf,nyj,31,37,0.7772806515859605
18,"Sep 18, 2016",2,cle,rav,20,25,0.27118124632557
19,"Sep 18, 2016",2,pit,cin,24,16,0.6977212154447795
20,"Sep 18, 2016",2,nwe,mia,31,24,0.8637629866866047
21,"Sep 18, 2016",2,htx,kan,19,12,0.38004403495762107
22,"Sep 18, 2016",2,det,oti,15,16,0.565505085438058
23,"Sep 18, 2016",2,car,sfo,46,27,0.8098817190991876
24,"Sep 18, 2016",2,was,dal,23,27,0.44386925873504385
25,"Sep 18, 2016",2,nyg,nor,16,13,0.6022982350648689
26,"Sep 18, 2016",2,crd,tam,40,7,0.6219347129035859
27,"Sep 18, 2016",2,ram,sea,9,3,0.24619440367029521
28,"Sep 18, 2016",2,sdg,jax,38,14,0.7138493421044994
29,"Sep 18, 2016",2,rai,atl,28,35,0.4234109486931656
30,"Sep 18, 2016",2,den,clt,34,20,0.6893759683901935
31,"Sep 18, 2016",2,min,gnb,17,14,0.49377571647897034
32,"Sep 19, 2016",2,chi,phi,14,29,0.2909714921993234
33,"Sep 22, 2016",3,nwe,htx,27,0,0.858500692032188
34,"Sep 25, 2016",3,car,min,10,22,0.542601243690169
35,"Sep 25, 2016",3,buf,crd,33,18,0.540537674703873
36,"Sep 25, 2016",3,oti,rai,10,17,0.48192539272255236
37,"Sep 25, 2016",3,nyg,was,27,29,0.5884802083534497
38,"Sep 25, 2016",3,mia,cle,30,24,0.7943866794555717
39,"Sep 25, 2016",3,jax,rav,17,19,0.39798839995339397
40,"Sep 25, 2016",3,gnb,det,34,27,0.7354252448651859
41,"Sep 25, 2016",3,cin,den,17,29,0.5017784329847141
42,"Sep 25, 2016",3,tam,ram,32,37,0.8269292433297465
43,"Sep 25, 2016",3,sea,sfo,37,18,0.8776883296413043
44,"Sep 25, 2016",3,phi,pit,34,3,0.5387680294811988
45,"Sep 25, 2016",3,clt,sdg,26,22,0.6108709497191722
46,"Sep 25, 2016",3,kan,nyj,24,3,0.8815609023591084
47,"Sep 25, 2016",3,dal,chi,31,17,0.8883397293830585
48,"Sep 26, 2016",3,nor,atl,32,45,0.3715864299860224
49,"Sep 29, 2016",4,cin,mia,22,7,0.666199548692215
50,"Oct 2, 2016",4,jax,clt,30,27,0.42865425425248016
51,"Oct 2, 2016",4,chi,det,17,14,0.4269050383338866
52,"Oct 2, 2016",4,rav,rai,27,28,0.54672488277938
53,"Oct 2, 2016",4,nwe,buf,0,16,0.832946699198512
54,"Oct 2, 2016",4,htx,oti,27,20,0.5701788204935916
55,"Oct 2, 2016",4,nyj,sea,17,27,0.29480401581070026
56,"Oct 2, 2016",4,atl,car,48,33,0.8180404767194062
57,"Oct 2, 2016",4,was,cle,31,20,0.8553118638163675
58,"Oct 2, 2016",4,tam,den,7,27,0.4842945155923611
59,"Oct 2, 2016",4,sfo,dal,17,24,0.16649616450883092
60,"Oct 2, 2016",4,sdg,nor,34,35,0.545252709356751
61,"Oct 2, 2016",4,crd,ram,13,17,0.8486157557476072
62,"Oct 2, 2016",4,pit,kan,43,14,0.5690112818327935
63,"Oct 3, 2016",4,min,nyg,24,10,0.5652126657501106
64,"Oct 6, 2016",5,sfo,crd,21,33,0.26799009961074494
65,"Oct 9, 2016",5,clt,chi,29,23,0.7792694441618949
66,"Oct 9, 2016",5,cle,nwe,13,33,0.10516363397612849
67,"Oct 9, 2016",5,pit,nyj,31,13,0.8717142723660267
68,"Oct 9, 2016",5,mia,oti,17,30,0.5608221773566218
69,"Oct 9, 2016",5,det,phi,24,23,0.4426956356228424
70,"Oct 9, 2016",5,rav,was,10,16,0.5855869697926761
71,"Oct 9, 2016",5,min,htx,31,13,0.6479022905452043
72,"Oct 9, 2016",5,den,atl,16,23,0.45828300567339614
73,"Oct 9, 2016",5,ram,buf,19,30,0.3206617884523592
74,"Oct 9, 2016",5,rai,sdg,34,31,0.6790722379159787
75,"Oct 9, 2016",5,dal,cin,28,14,0.7310300262736047
76,"Oct 9, 2016",5,gnb,nyg,23,16,0.6561405654469243
77,"Oct 10, 2016",5,car,tam,14,17,0.5496672840016853
78,"Oct 13, 2016",6,sdg,den,21,13,0.4565147177903316
79,"Oct 16, 2016",6,chi,jax,16,17,0.5305000944280365
80,"Oct 16, 2016",6,buf,sfo,45,16,0.8271193539369389
81,"Oct 16, 2016",6,oti,cle,28,26,0.8134909284181114
82,"Oct 16, 2016",6,nyg,rav,27,23,0.5907913480703741
83,"Oct 16, 2016",6,nwe,cin,35,17,0.8132915369160615
84,"Oct 16, 2016",6,mia,pit,30,15,0.3894139650028771
85,"Oct 16, 2016",6,det,ram,31,28,0.7853913461076822
86,"Oct 16, 2016",6,was,phi,27,20,0.5325684521642504
87,"Oct 16, 2016",6,nor,car,41,38,0.639872039914
88,"Oct 16, 2016",6,rai,kan,10,26,0.5029640375216734
89,"Oct 16, 2016",6,gnb,dal,16,30,0.5160016568085074
90,"Oct 16, 2016",6,sea,atl,26,24,0.42952939029595416
91,"Oct 16, 2016",6,htx,clt,26,23,0.5369976162658159
92,"Oct 17, 2016",6,crd,nyj,28,3,0.8114910804491307
93,"Oct 20, 2016",7,gnb,chi,26,10,0.8498325549923091
94,"Oct 23, 2016",7,ram,nyg,10,17,0.2831255996854393
95,"Oct 23, 2016",7,cin,cle,31,17,0.8482668978664695
96,"Oct 23, 2016",7,phi,min,21,10,0.6624069952652127
97,"Oct 23, 2016",7,oti,clt,26,34,0.5549566256735754
98,"Oct 23, 2016",7,mia,buf,28,25,0.5361121325542868
99,"Oct 23, 2016",7,jax,rai,16,33,0.35818380544683964
100,"Oct 23, 2016",7,det,was,20,17,0.4985179710128745
101,"Oct 23, 2016",7,kan,nor,27,21,0.7161195760577963
102,"Oct 23, 2016",7,nyj,rav,24,16,0.3375930047347871
103,"Oct 23, 2016",7,atl,sdg,30,33,0.8106874525269552
104,"Oct 23, 2016",7,sfo,tam,17,34,0.29788668904472376
105,"Oct 23, 2016",7,pit,nwe,16,27,0.44034990744213426
106,"Oct 23, 2016",7,crd,sea,6,6,0.5484906418586492
107,"Oct 24, 2016",7,den,htx,27,9,0.7334763336720458
108,"Oct 27, 2016",8,oti,jax,36,22,0.7054522084335639
109,"Oct 30, 2016",8,cin,was,27,27,0.5760071133628413
110,"Oct 30, 2016",8,car,crd,30,20,0.5145207097841195
111,"Oct 30, 2016",8,buf,nwe,25,41,0.30098397686182393
112,"Oct 30, 2016",8,tam,rai,24,30,0.5195549903263244
113,"Oct 30, 2016",8,clt,kan,14,30,0.43011300705487077
114,"Oct 30, 2016",8,cle,nyj,28,31,0.5127433107502393
115,"Oct 30, 2016",8,nor,sea,25,20,0.5287265589148298
116,"Oct 30, 2016",8,htx,det,20,13,0.5925226388401105
117,"Oct 30, 2016",8,den,sdg,27,19,0.7100465684676667
118,"Oct 30, 2016",8,atl,gnb,33,32,0.7105549716832525
119,"Oct 30, 2016",8,dal,phi,29,23,0.6718565815887922
120,"Oct 31, 2016",8,chi,min,20,10,0.36179726480384533
121,"Nov 3, 2016",9,tam,atl,28,43,0.3570745048295077
122,"Nov 6, 2016",9,cle,dal,10,35,0.1639120765284645
123,"Nov 6, 2016",9,rav,pit,21,14,0.4804450096736756
124,"Nov 6, 2016",9,nyg,phi,28,23,0.5331592525021177
125,"Nov 6, 2016",9,min,det,16,22,0.6523049723035188
126,"Nov 6, 2016",9,mia,nyj,27,23,0.7361542128825518
127,"Nov 6, 2016",9,kan,jax,19,14,0.8466904304471916
128,"Nov 6, 2016",9,sfo,nor,23,41,0.28463621008753
129,"Nov 6, 2016",9,ram,car,10,13,0.34440640475813056
130,"Nov 6, 2016",9,gnb,clt,26,31,0.6872741091263261
131,"Nov 6, 2016",9,sdg,oti,43,35,0.597418051059905
132,"Nov 6, 2016",9,rai,den,30,20,0.5531945511336033
133,"Nov 7, 2016",9,sea,buf,31,25,0.6710508049604138
134,"Nov 10, 2016",10,rav,cle,28,7,0.8539548283048424
135,"Nov 13, 2016",10,car,kan,17,20,0.39626942103829993
136,"Nov 13, 2016",10,was,min,26,20,0.6097309346656535
137,"Nov 13, 2016",10,tam,chi,36,10,0.7823428143004771
138,"Nov 13, 2016",10,phi,atl,24,15,0.4397637990473102
139,"Nov 13, 2016",10,oti,gnb,47,25,0.4491565102581967
140,"Nov 13, 2016",10,nyj,ram,6,9,0.6440335888792844
141,"Nov 13, 2016",10,nor,den,23,25,0.499703593548087
142,"Nov 13, 2016",10,jax,htx,21,24,0.4798529308153786
143,"Nov 13, 2016",10,sdg,mia,24,31,0.6239102672570299
144,"Nov 13, 2016",10,crd,sfo,23,20,0.8561556845868211
145,"Nov 13, 2016",10,pit,dal,30,35,0.5493731639791142
146,"Nov 13, 2016",10,nwe,sea,24,31,0.7719275714623662
147,"Nov 14, 2016",10,nyg,cin,21,20,0.600290638666673
148,"Nov 17, 2016",11,car,nor,23,20,0.5343406327344689
149,"Nov 20, 2016",11,cle,pit,9,24,0.18931254747304482
150,"Nov 20, 2016",11,cin,buf,12,16,0.6171237387232085
151,"Nov 20, 2016",11,nyg,chi,22,16,0.8039773392121957
152,"Nov 20, 2016",11,min,crd,30,24,0.5602362009526898
153,"Nov 20, 2016",11,kan,tam,17,19,0.7290648975399039
