id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 5, 2013",1,den,rav,49,27,0.8729559476047872
2,"Sep 8, 2013",1,buf,nwe,21,23,0.33488232780377464
3,"Sep 8, 2013",1,pit,oti,9,16,0.5719289752278611
4,"Sep 8, 2013",1,det,min,34,24,0.6788061723573697
5,"Sep 8, 2013",1,clt,rai,21,17,0.8553118638163675
6,"Sep 8, 2013",1,cle,mia,10,23,0.3609622813998952
7,"Sep 8, 2013",1,chi,cin,24,21,0.44592427809332924
8,"Sep 8, 2013",1,nyj,tam,18,17,0.5838487842496729
9,"Sep 8, 2013",1,nor,atl,23,17,0.8558185555150798
10,"Sep 8, 2013",1,jax,kan,2,28,0.19767082624487448
11,"Sep 8, 2013",1,car,sea,7,12,0.3741174200929357
12,"Sep 8, 2013",1,ram,crd,27,24,0.47866890774804893
13,"Sep 8, 2013",1,sfo,gnb,34,28,0.8749557845025489
14,"Sep 8, 2013",1,dal,nyg,36,31,0.719133076606224
15,"Sep 9, 2013",1,was,phi,27,33,0.3206617884523591
16,"Sep 9, 2013",1,sdg,htx,28,31,0.8998854876277468
17,"Sep 12, 2013",2,nwe,nyj,13,10,0.8506976950490142
18,"Sep 15, 2013",2,buf,car,24,23,0.30878995888474203
19,"Sep 15, 2013",2,rav,cle,14,6,0.7719275714623661
20,"Sep 15, 2013",2,phi,sdg,30,33,0.5142244956895781
21,"Sep 15, 2013",2,kan,dal,17,16,0.7467268223134025
22,"Sep 15, 2013",2,gnb,was,38,20,0.7950205229632685
23,"Sep 15, 2013",2,clt,mia,20,24,0.7385766883713829
24,"Sep 15, 2013",2,atl,ram,31,24,0.48844176476014944
25,"Sep 15, 2013",2,htx,oti,30,24,0.37721822708714514
26,"Sep 15, 2013",2,chi,min,31,30,0.6550462994502616
27,"Sep 15, 2013",2,tam,nor,14,16,0.2823717398383636
28,"Sep 15, 2013",2,crd,det,25,21,0.8056171410782093
29,"Sep 15, 2013",2,rai,jax,19,9,0.6961641561675471
30,"Sep 15, 2013",2,nyg,den,23,41,0.24549240785139242
31,"Sep 15, 2013",2,sea,sfo,29,3,0.7103008224164604
32,"Sep 16, 2013",2,cin,pit,20,10,0.7216324552248188
33,"Sep 19, 2013",3,phi,kan,16,26,0.5008892187012501
34,"Sep 22, 2013",3,nwe,tam,23,3,0.8364549430371739
35,"Sep 22, 2013",3,dal,ram,31,7,0.5739690331387931
36,"Sep 22, 2013",3,cin,gnb,34,30,0.6885884904445752
37,"Sep 22, 2013",3,car,nyg,38,0,0.8621331045520939
38,"Sep 22, 2013",3,was,det,20,27,0.43624996469157346
39,"Sep 22, 2013",3,rav,htx,30,9,0.7589284839750954
40,"Sep 22, 2013",3,oti,sdg,20,17,0.438591979494204
41,"Sep 22, 2013",3,nor,crd,31,7,0.6688981859443175
42,"Sep 22, 2013",3,min,cle,27,31,0.7221310270726604
43,"Sep 22, 2013",3,mia,atl,27,23,0.6632210914757944
44,"Sep 22, 2013",3,sfo,clt,7,27,0.7845228790349712
45,"Sep 22, 2013",3,nyj,buf,27,20,0.5794962109946106
46,"Sep 22, 2013",3,sea,jax,45,17,0.9821861588392693
47,"Sep 22, 2013",3,pit,chi,23,40,0.6412610943069124
48,"Sep 23, 2013",3,den,rai,37,21,0.9204269401026092
49,"Sep 26, 2013",4,ram,sfo,11,35,0.3217262340799386
50,"Sep 29, 2013",4,buf,rav,23,20,0.5905026263738741
51,"Sep 29, 2013",4,kan,nyg,31,7,0.834799149647626
