id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 5, 2012",1,nyg,dal,17,24,0.7138493421044994
2,"Sep 9, 2012",1,chi,clt,41,21,0.8064339008893802
3,"Sep 9, 2012",1,cle,phi,16,17,0.6734657348891215
4,"Sep 9, 2012",1,oti,nwe,13,34,0.1311102336722072
5,"Sep 9, 2012",1,nyj,buf,48,28,0.5587706852495462
6,"Sep 9, 2012",1,nor,was,32,40,0.5378829166946106
7,"Sep 9, 2012",1,kan,atl,24,40,0.09287624580601123
8,"Sep 9, 2012",1,htx,mia,30,10,0.7598536512726113
9,"Sep 9, 2012",1,det,ram,27,23,0.46979545376095616
10,"Sep 9, 2012",1,min,jax,26,23,0.9132654861674191
11,"Sep 9, 2012",1,gnb,sfo,22,30,0.49081221149273574
12,"Sep 9, 2012",1,crd,sea,20,16,0.19663974356347236
13,"Sep 9, 2012",1,tam,car,16,10,0.5523131176525715
14,"Sep 9, 2012",1,den,pit,31,19,0.8047982865595797
15,"Sep 10, 2012",1,rav,cin,44,13,0.7072428939558206
16,"Sep 10, 2012",1,rai,sdg,14,22,0.3606841005509012
17,"Sep 13, 2012",2,gnb,chi,23,10,0.6267268525092982
18,"Sep 16, 2012",2,buf,kan,35,17,0.7838701930469113
19,"Sep 16, 2012",2,nwe,crd,18,20,0.8704641956412583
20,"Sep 16, 2012",2,mia,rai,35,13,0.7591599573250113
21,"Sep 16, 2012",2,cin,cle,34,27,0.7770590459663537
22,"Sep 16, 2012",2,car,nor,35,27,0.5649202103858311
23,"Sep 16, 2012",2,phi,rav,24,23,0.15738745581382346
24,"Sep 16, 2012",2,nyg,tam,41,34,0.7206340054788755
25,"Sep 16, 2012",2,jax,htx,7,27,0.13222016883816412
26,"Sep 16, 2012",2,clt,min,23,20,0.39169541106356903
27,"Sep 16, 2012",2,ram,was,31,28,0.5171862564949019
28,"Sep 16, 2012",2,sea,dal,27,7,0.8184327829057844
29,"Sep 16, 2012",2,sdg,oti,38,10,0.7512224284303882
30,"Sep 16, 2012",2,pit,nyj,27,10,0.7545075921486075
31,"Sep 16, 2012",2,sfo,det,27,19,0.8775376299870054
32,"Sep 17, 2012",2,atl,den,27,21,0.48814548590615203
33,"Sep 20, 2012",3,car,nyg,7,36,0.43947079426747077
34,"Sep 23, 2012",3,cle,buf,14,24,0.602011600046606
35,"Sep 23, 2012",3,nor,kan,24,27,0.9036179830138085
36,"Sep 23, 2012",3,was,cin,31,38,0.5608221773566218
37,"Sep 23, 2012",3,oti,det,44,41,0.40286949997835103
38,"Sep 23, 2012",3,mia,nyj,20,23,0.6761404861924142
39,"Sep 23, 2012",3,clt,jax,17,22,0.8154775837144266
40,"Sep 23, 2012",3,chi,ram,23,6,0.7097922099341648
41,"Sep 23, 2012",3,min,sfo,24,13,0.3548595327837007
42,"Sep 23, 2012",3,dal,tam,16,10,0.5823990409415905
43,"Sep 23, 2012",3,sdg,atl,3,27,0.3198644202684545
44,"Sep 23, 2012",3,crd,phi,27,6,0.6966835734611253
45,"Sep 23, 2012",3,rai,pit,34,31,0.2879223364668446
46,"Sep 23, 2012",3,den,htx,25,31,0.7166228992613677
47,"Sep 23, 2012",3,rav,nwe,31,30,0.5452527093567511
48,"Sep 24, 2012",3,sea,gnb,14,12,0.6555935952418694
49,"Sep 27, 2012",4,rav,cle,23,16,0.8685733008175256
50,"Sep 30, 2012",4,ram,sea,19,13,0.2999499346745603
51,"Sep 30, 2012",4,buf,nwe,28,52,0.18710764178086392
52,"Sep 30, 2012",4,atl,car,30,28,0.72881875367443
53,"Sep 30, 2012",4,nyj,sfo,0,34,0.15190773126327511
54,"Sep 30, 2012",4,kan,sdg,20,37,0.2523231979825076
55,"Sep 30, 2012",4,htx,oti,38,14,0.8784398752318832
56,"Sep 30, 2012",4,det,min,13,20,0.4103638326707724
57,"Sep 30, 2012",4,jax,cin,10,27,0.15525104898230757
58,"Sep 30, 2012",4,den,rai,37,6,0.9458987709023051
59,"Sep 30, 2012",4,crd,mia,24,21,0.5378829166946106
60,"Sep 30, 2012",4,tam,was,22,24,0.5056315360624987
61,"Sep 30, 2012",4,gnb,nor,28,27,0.7376090705165023
62,"Sep 30, 2012",4,phi,nyg,19,17,0.2016186448222828
63,"Oct 1, 2012",4,dal,chi,18,34,0.4263222838645574
64,"Oct 4, 2012",5,ram,crd,17,3,0.6974619542871279
65,"Oct 7, 2012",5,pit,phi,16,14,0.7994248074179392
66,"Oct 7, 2012",5,nyg,cle,41,27,0.829013136084869
67,"Oct 7, 2012",5,kan,rav,6,9,0.0790244466017948
68,"Oct 7, 2012",5,cin,mia,13,17,0.7270926309901342
69,"Oct 7, 2012",5,clt,gnb,30,27,0.26627965593307285
70,"Oct 7, 2012",5,was,atl,17,24,0.4538639106874751
71,"Oct 7, 2012",5,car,sea,12,16,0.3095754098130872
72,"Oct 7, 2012",5,jax,chi,3,41,0.11523065570113777
73,"Oct 7, 2012",5,min,oti,30,7,0.8500058497841286
74,"Oct 7, 2012",5,sfo,buf,45,3,0.9137340398749901
75,"Oct 7, 2012",5,nwe,den,31,21,0.5529007689506638
76,"Oct 7, 2012",5,nor,sdg,31,24,0.6726615592994222
77,"Oct 8, 2012",5,nyj,htx,17,23,0.2746389229037422
78,"Oct 11, 2012",6,oti,pit,26,23,0.3066997020385998
79,"Oct 14, 2012",6,tam,kan,38,10,0.8890442055225025
80,"Oct 14, 2012",6,mia,ram,17,14,0.48074106536347905
81,"Oct 14, 2012",6,atl,rai,23,20,0.9175276069814998
82,"Oct 14, 2012",6,cle,cin,34,24,0.3496187163114619
83,"Oct 14, 2012",6,rav,dal,31,29,0.7685454851624391
84,"Oct 14, 2012",6,nyj,clt,35,9,0.497925163999421
85,"Oct 14, 2012",6,phi,det,23,26,0.4190518232005725
86,"Oct 14, 2012",6,sea,nwe,24,23,0.6137167949585125
87,"Oct 14, 2012",6,crd,buf,16,19,0.6270081417880935
88,"Oct 14, 2012",6,sfo,nyg,3,26,0.7023707610208176
89,"Oct 14, 2012",6,was,min,38,26,0.572220531136154
90,"Oct 14, 2012",6,htx,gnb,24,42,0.48784921359415645
91,"Oct 15, 2012",6,sdg,den,24,35,0.24642864126018688
92,"Oct 18, 2012",7,sfo,sea,13,6,0.5739690331387932
93,"Oct 21, 2012",7,ram,gnb,20,30,0.377500515014879
94,"Oct 21, 2012",7,buf,oti,34,35,0.662949810804236
95,"Oct 21, 2012",7,tam,nor,28,35,0.542601243690169
96,"Oct 21, 2012",7,htx,rav,43,13,0.4730475464827659
97,"Oct 21, 2012",7,clt,cle,17,13,0.6065910519240318
98,"Oct 21, 2012",7,car,dal,14,19,0.5887692705271853
99,"Oct 21, 2012",7,nyg,was,27,23,0.6594154927560416
100,"Oct 21, 2012",7,min,crd,21,14,0.7479140030929335
101,"Oct 21, 2012",7,rai,jax,26,23,0.6766743523662678
102,"Oct 21, 2012",7,nwe,nyj,29,26,0.9039981879082286
103,"Oct 21, 2012",7,cin,pit,17,24,0.6451404672162995
104,"Oct 22, 2012",7,chi,det,13,7,0.7929031941134228
105,"Oct 25, 2012",8,min,tam,17,36,0.6434796934181264
106,"Oct 28, 2012",8,pit,was,27,12,0.5154093033415096
107,"Oct 28, 2012",8,chi,car,23,22,0.7003083244561208
108,"Oct 28, 2012",8,phi,atl,17,30,0.17961363584104317
