id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 10, 2015",1,nwe,pit,28,21,0.5751338959885537
2,"Sep 13, 2015",1,chi,gnb,23,31,0.3270702928882694
3,"Sep 13, 2015",1,ram,sea,34,31,0.27911621905415734
4,"Sep 13, 2015",1,was,mia,10,17,0.6390377186001046
5,"Sep 13, 2015",1,htx,kan,20,27,0.32599859525058633
6,"Sep 13, 2015",1,buf,clt,27,14,0.6555935952418694
7,"Sep 13, 2015",1,jax,car,9,20,0.16798452950338932
8,"Sep 13, 2015",1,nyj,cle,31,10,0.7708033081533416
9,"Sep 13, 2015",1,sdg,det,33,28,0.46890885976761093
10,"Sep 13, 2015",1,crd,nor,31,19,0.8386458438435065
11,"Sep 13, 2015",1,tam,oti,14,42,0.6591430365344388
12,"Sep 13, 2015",1,rai,cin,13,33,0.333800451307785
13,"Sep 13, 2015",1,den,rav,19,13,0.8282572214826824
14,"Sep 13, 2015",1,dal,nyg,27,26,0.5023712378711032
15,"Sep 14, 2015",1,atl,phi,26,24,0.5660898171568158
16,"Sep 14, 2015",1,sfo,min,20,3,0.30461571277784416
17,"Sep 17, 2015",2,kan,den,24,31,0.5399478804457785
18,"Sep 20, 2015",2,chi,crd,23,48,0.2919912199668944
19,"Sep 20, 2015",2,car,htx,24,17,0.790559252663031
20,"Sep 20, 2015",2,buf,nwe,32,40,0.39283753783467756
21,"Sep 20, 2015",2,pit,sfo,43,18,0.8371873799103338
22,"Sep 20, 2015",2,nyg,atl,20,24,0.547019241080742
23,"Sep 20, 2015",2,nor,tam,19,26,0.6370884003419142
24,"Sep 20, 2015",2,cle,oti,28,14,0.6566872090520836
25,"Sep 20, 2015",2,was,ram,24,10,0.5707623604204765
26,"Sep 20, 2015",2,min,det,26,16,0.679869882570223
27,"Sep 20, 2015",2,cin,sdg,24,19,0.813690187992109
28,"Sep 20, 2015",2,rai,rav,37,33,0.5823990409415903
29,"Sep 20, 2015",2,jax,mia,23,20,0.47097781131066185
30,"Sep 20, 2015",2,phi,dal,10,20,0.6384811363393864
31,"Sep 20, 2015",2,gnb,sea,27,17,0.48192539272255247
32,"Sep 21, 2015",2,clt,nyj,7,20,0.45003862325098254
33,"Sep 24, 2015",3,nyg,was,32,21,0.5269524535172341
34,"Sep 27, 2015",3,ram,pit,6,12,0.3474205334728757
35,"Sep 27, 2015",3,cle,rai,20,27,0.4123872657650689
36,"Sep 27, 2015",3,rav,cin,24,28,0.31694787408661
37,"Sep 27, 2015",3,min,sdg,31,14,0.7600846403402521
38,"Sep 27, 2015",3,car,nor,27,22,0.8556497913727702
39,"Sep 27, 2015",3,oti,clt,33,35,0.35403017669250403
40,"Sep 27, 2015",3,nyj,phi,17,24,0.6539507351709604
41,"Sep 27, 2015",3,htx,tam,19,9,0.7268455979781319
42,"Sep 27, 2015",3,dal,atl,28,39,0.4851830841335203
43,"Sep 27, 2015",3,nwe,jax,51,17,0.8758713310811711
44,"Sep 27, 2015",3,crd,sfo,47,7,0.8574988798287618
45,"Sep 27, 2015",3,mia,buf,14,41,0.43449491456194195
46,"Sep 27, 2015",3,sea,chi,26,0,0.8357203698634386
47,"Sep 27, 2015",3,det,den,12,24,0.31615441243276715
48,"Sep 28, 2015",3,gnb,kan,38,28,0.5097804338855618
49,"Oct 1, 2015",4,pit,rav,20,23,0.7772806515859607
50,"Oct 4, 2015",4,mia,nyj,14,27,0.4158614032726745
51,"Oct 4, 2015",4,buf,nyg,10,24,0.650381283688538
52,"Oct 4, 2015",4,atl,htx,48,21,0.5251778133193521
53,"Oct 4, 2015",4,clt,jax,16,13,0.6851661426531973
54,"Oct 4, 2015",4,chi,rai,22,20,0.537292736988835
55,"Oct 4, 2015",4,was,phi,23,20,0.5858765054732507
56,"Oct 4, 2015",4,tam,car,23,37,0.17670813608711228
57,"Oct 4, 2015",4,cin,kan,36,21,0.5293178024713109
58,"Oct 4, 2015",4,sdg,cle,30,27,0.6569604080635923
59,"Oct 4, 2015",4,sfo,gnb,3,17,0.2587718430295765
60,"Oct 4, 2015",4,den,min,23,20,0.6896382685721744
61,"Oct 4, 2015",4,crd,ram,22,24,0.7884149131689094
62,"Oct 4, 2015",4,nor,dal,26,20,0.5812384383750104
63,"Oct 5, 2015",4,sea,det,13,10,0.7909865810434387
