id,date,week,home,away,homePts,awayPts,homeWinProb
1,"Sep 7, 2017",1,nwe,kan,27,42,0.7221310270726604
2,"Sep 10, 2017",1,chi,atl,17,23,0.355136137965171
3,"Sep 10, 2017",1,buf,nyj,21,12,0.6878001487044211
4,"Sep 10, 2017",1,was,phi,17,30,0.2711812463255699
5,"Sep 10, 2017",1,oti,rai,16,26,0.6071624621653222
6,"Sep 10, 2017",1,htx,jax,7,29,0.2853929555875151
7,"Sep 10, 2017",1,det,crd,35,23,0.6946035292118222
8,"Sep 10, 2017",1,cle,pit,18,21,0.14861259357045553
9,"Sep 10, 2017",1,cin,rav,0,20,0.389413965002877
10,"Sep 10, 2017",1,ram,clt,46,9,0.8551427003791259
11,"Sep 10, 2017",1,sfo,car,3,23,0.3848625626147945
12,"Sep 10, 2017",1,gnb,sea,17,9,0.4644782895897465
13,"Sep 10, 2017",1,dal,nyg,19,3,0.7931155074308763
14,"Sep 11, 2017",1,min,nor,29,19,0.5643351932567661
15,"Sep 11, 2017",1,den,sdg,24,21,0.3606841005509012
16,"Sep 14, 2017",2,cin,htx,9,13,0.6509313057651159
17,"Sep 17, 2017",2,car,buf,9,3,0.7339642413411687
18,"Sep 17, 2017",2,tam,chi,29,7,0.6120100111367315
19,"Sep 17, 2017",2,rav,cle,24,10,0.8942943469080642
20,"Sep 17, 2017",2,pit,min,26,9,0.5414221984352134
21,"Sep 17, 2017",2,nor,nwe,20,36,0.5002964064519129
22,"Sep 17, 2017",2,kan,phi,27,20,0.401144987150463
23,"Sep 17, 2017",2,jax,oti,16,37,0.7295568505979562
24,"Sep 17, 2017",2,clt,crd,13,16,0.4074773611598896
25,"Sep 17, 2017",2,sdg,mia,17,19,0.771253386004844
26,"Sep 17, 2017",2,rai,nyj,45,20,0.6683591542573102
27,"Sep 17, 2017",2,sea,sfo,12,9,0.7082638679222973
28,"Sep 17, 2017",2,ram,was,20,27,0.7108090161709051
29,"Sep 17, 2017",2,den,dal,42,17,0.36962170655316734
30,"Sep 17, 2017",2,atl,gnb,34,23,0.7495711113787185
31,"Sep 18, 2017",2,nyg,det,10,24,0.34934366572624886
32,"Sep 21, 2017",3,sfo,ram,39,41,0.38685189033603007
33,"Sep 24, 2017",3,jax,rav,44,7,0.6057335062795107
34,"Sep 24, 2017",3,car,nor,13,34,0.492886621467433
35,"Sep 24, 2017",3,buf,den,26,16,0.6326195277829387
36,"Sep 24, 2017",3,phi,nyg,27,24,0.9051321836327904
37,"Sep 24, 2017",3,nyj,mia,20,6,0.5201470691846213
38,"Sep 24, 2017",3,nwe,htx,36,33,0.9039981879082286
39,"Sep 24, 2017",3,min,tam,34,17,0.7649073094983018
40,"Sep 24, 2017",3,det,atl,26,30,0.4798529308153787
41,"Sep 24, 2017",3,clt,cle,31,28,0.668089507535188
42,"Sep 24, 2017",3,chi,pit,23,17,0.3554128195029822
43,"Sep 24, 2017",3,oti,sea,33,27,0.45710405316179076
44,"Sep 24, 2017",3,sdg,kan,10,24,0.5596500925578656
