year,homeAdv
2002,2.50
2003,3.11
2004,2.41
2005,3.54
2006,1.44
2007,2.73
2008,2.55
2009,2.96
2010,1.91
2011,2.83
2012,2.53
2013,3.65
2014,2.64
2015,2.17
2016,2.99
2017,2.49
2018,2.39
2019,1.46
