id,rating
nwe,29.82
atl,28.16
dal,26.13
kan,25.46
pit,24.81
den,23.76
gnb,23.68
phi,23.13
sea,22.78
rai,22.57
crd,21.43
nyg,21.26
was,21.24
rav,21.16
cin,20.83
nor,20.76
min,20.48
tam,20.24
clt,20.10
buf,19.81
sdg,19.30
oti,18.97
car,18.93
htx,18.36
det,18.20
mia,18.04
jax,14.69
chi,12.73
nyj,12.53
ram,10.55
sfo,10.11
cle,9.97
