id,rating
nwe,36.24
nyg,29.87
gnb,29.13
sdg,29.10
dal,28.77
clt,28.46
jax,26.61
phi,24.18
was,22.75
min,22.45
oti,22.14
sea,21.14
chi,20.99
pit,20.97
htx,20.20
tam,19.77
det,19.30
cle,18.99
den,18.62
buf,17.27
nor,16.73
car,16.48
crd,16.16
cin,15.46
rai,14.99
kan,14.88
nyj,13.88
rav,12.73
atl,11.91
sfo,10.75
mia,10.61
ram,8.45
